itemcode,itemdesc,catcode,category,company,brand,packaging,flavor,color,qty,uomdesc,pack_size,launchdate
59383,JELO COCOA POWDER 100 GM CDBOX,35,CAKE INGREDIENTS,EDINBOROUGH PRODUCTS,JELO,CDBOX,,,100,GM,100.00 GM,202307
59384,ALPINE INTERIOR EMULSION PAINT - BRILLIANT WHITE 1 L - INTERIOR,37,PAINTS,UNIVERSAL PAINT,ALPINE,PL-CANISTER,,,1000,ML,1000.00 ML,202307
59385,ALPINE INTERIOR EMULSION PAINT - BRILLIANT WHITE 4 L - INTERIOR,37,PAINTS,UNIVERSAL PAINT,ALPINE,PL-CANISTER,,,4000,ML,4000.00 ML,202307
59386,ROMANTRA AMBERLY PERFUMED COLOGNE SPRAY 100 ML CDBOX (OGABO GLOBAL),30,PERFUMES/COLOGNES,OGABO GLOBAL PARFUMERIE (PVT) LTD,ROMANTRA,CDBOX,,,100,ML,100.00 ML,202307
59387,ROMANTRA VENUST PERFUMED COLOGNE SPRAY 100 ML CDBOX,30,PERFUMES/COLOGNES,OGABO GLOBAL PARFUMERIE (PVT) LTD,ROMANTRA,CDBOX,,,100,ML,100.00 ML,202307
59388,ARROMIC SUPER CLOREX LIQUID BLEACH 1000 ML PLBOT,21,HOUSEHOLD CLEANERS,GLASCO MARKETING,ARROMIC,PLBOT,,,1000,ML,1000.00 ML,202307
59389,ARROMIC SUPER CLOREX LIQUID BLEACH 225 ML PLBOT,21,HOUSEHOLD CLEANERS,GLASCO MARKETING,ARROMIC,PLBOT,,,225,ML,225.00 ML,202307
59390,ARROMIC SUPER CLOREX LIQUID BLEACH 500 ML PLBOT,21,HOUSEHOLD CLEANERS,GLASCO MARKETING,ARROMIC,PLBOT,,,500,ML,500.00 ML,202307
59391,BRITOL CLOREX LIQUID BLEACH 250 ML PLBOT,21,HOUSEHOLD CLEANERS,ANTLER INDUSTRIES (PVT) LTD,BRITOL,PLBOT,,,250,ML,250.00 ML,202307
59392,LYSOL TRIPLE GERM ACTION ALL IN 1 DISINFECTANT SURFACE CLEANER - CITRONELLA - 500 ML PLBOT,21,HOUSEHOLD CLEANERS,RECKITT BENCKISER (LANKA) LTD,LYSOL,PLBOT,,,500,ML,500.00 ML,202307
59393,NEW KEEN ANTI BACTERIAL DISHWASH LIQUID WITH POWER OF LIME 1500 ML PLBOT (LANMIC F O),21,HOUSEHOLD CLEANERS,LANMIC F O (PVT) LTD,NEW KEEN,PLBOT,,LIQUID,1500,ML,1500.00 ML,202307
59394,SAHASRI NOODLES 250 GM (SAHASRI INDRUS.) PLPCH,24,NOODLES,SAHASRI INDRUSTRIES,SAHASRI,PLPCH,,BULK,250,GM,250.00 GM,202307
59395,CHERISH MILK MARIE 75 GM PLPCH,6,BISCUITS,CHERISH BISCUIT (PVT) LTD,CHERISH MILK MARIE,PLPCH,,,75,GM,75.00 GM,202307
59396,MALINDU VANILLA DRINKING YOGHURT 170 ML PLCUP,17,YOGHURT,MALINDU DAIRY (PVT) LTD,MALINDU,PLCUP,VANILLA,,170,ML,170.00 ML,202307
59397,HIMALAYA HERBALS (IMPORTED) NATURAL GLOW KESAR FACE CREAM 25 GM CDBOX,19,CREAMS & LOTIONS,IMPORTED,HIMALAYA HERBALS,CDBOX,UNSPECIFIED,,25,GM,25.00 GM,202307
59398,BORO PLUS ALOE VERA MILK CREAM MOISTURISING BODY LOTION FOR ALL SKIN TYPES 200 ML PLBOT + SAVE RS 30,19,CREAMS & LOTIONS,EMAMI INDO LANKA PVT LTD,BORO PLUS,PLBOT,ALOEVERA & MILK,,200,ML,200.00 ML,202307
59399,SAHANA CHILLI PIECES 50 GM PLPCH,28,COOKING AIDS,SAHANA PRODUCTS,SAHANA,PLPCH,CHILLI FLAKES,,50,GM,50.00 GM,202307
59400,GARNIER (IMPORTED) COLOR NATURALS CREAM RICHE NOURS. PERMANENT HAIR COLOR BROWN 60 GM CDBOX,33,HAIR DYE,IMPORTED,GARNIER,CDBOX,UNSPECIFIED,BROWN,60,GM,60.00 GM,202307
59401,GARNIER (IMPORTED) COLOR NATURALS CREAM RICHE NOURS. PERMANENT HAIR COLOR 3.16 BURGUNDY 60 GM CDBOX,33,HAIR DYE,IMPORTED,GARNIER,CDBOX,UNSPECIFIED,BURGUNDY,60,GM,60.00 GM,202307
59402,GARNIER (IMPORTED) COLOR NATURALS CREAM RICHE NOURS. PERMANENT HAIR COLOR 3 DARKEST BROWN 60 GM CDBOX,33,HAIR DYE,IMPORTED,GARNIER,CDBOX,UNSPECIFIED,DARKEST BROWN,60,GM,60.00 GM,202307
59403,GARNIER (IMPORTED) COLOR NATURALS CREAM RICHE NOURS. PERMANENT HAIR COLOR 1 NATURAL BLACK 60 GM CDBOX,33,HAIR DYE,IMPORTED,GARNIER,CDBOX,UNSPECIFIED,NATURAL BLACK,60,GM,60.00 GM,202307
59404,ANCHOR PEDIAPRO 1-3 YEARS CEREAL WITH MILK FOR YOUNG CHILDREN 200 GM CDBOX,18,INFANT/KIDS CEREALS,FONTERRA BRANDS LANKA (PVT)LTD,PEDIAPRO,CDBOX,,,200,GM,200.00 GM,202307
59405,RATTHI MILK'N MALT - 3 IN1 MALTED FOOD 28 GM PLPCH,23,MILK FOOD DRINKS,FONTERRA BRANDS LANKA (PVT)LTD,RATTHI MILK'N MALT,PLPCH,MALT,REGULAR,28,GM,28.00 GM,202307
59406,DETTOL ORIGINAL GERM DEFENSE SOAP(100*2) 200 GM EWRPK + BUY 2 AND SAVE RS 60,13,TOILET SOAP,RECKITT BENCKISER (LANKA) LTD,DETTOL,EWRPK,UNSPECIFIED,,200,GM,200.00 GM,202307
59407,DETTOL COOL UP TO 5? ANTIBACTERIAL COOLING SENSATION SOAP 100 GM EWRPK + SAVE RS 25,13,TOILET SOAP,RECKITT BENCKISER (LANKA) LTD,DETTOL,EWRPK,UNSPECIFIED,,100,GM,100.00 GM,202307
59408,DETTOL PROFRESH LASTING FRESH EWRPK 100 GM + SAVE RS 25,13,TOILET SOAP,RECKITT BENCKISER (LANKA) LTD,DETTOL,EWRPK,UNSPECIFIED,,100,GM,100.00 GM,202307
59409,DETTOL PROFRESH ORANGE BURST 100 GM EWRPK + SAVE RS 30,13,TOILET SOAP,RECKITT BENCKISER (LANKA) LTD,DETTOL,EWRPK,ORANGE,,100,GM,100.00 GM,202307
59410,DETTOL PROSKIN SKIN CARE 100 GM EWRPK + SAVE RS 25,13,TOILET SOAP,RECKITT BENCKISER (LANKA) LTD,DETTOL,EWRPK,UNSPECIFIED,,100,GM,100.00 GM,202307
