itemcode,itemdesc,catcode,category,company,brand,packaging,flavor,color,qty,uomdesc,pack_size,launchdate,audittype
54257,EMAMI FAIR & HANDSOME RADIANCE CREAM FOR MEN CDBOX 60 GM + FREE FACE WASH 50 GM (EMAMI INDO LANKA),19,CREAMS & LOTIONS,EMAMI INDO LANKA PVT LTD,FAIR & HANDSOME,CDBOX,UNSPECIFIED,,60,GM,60.00 GM,202207,1
54258,LEVER AYUSH TURMERIC ANTI MARKS TURMERIC FACE CREAM 25 GM CDBOX + FREE DATA CARD,19,CREAMS & LOTIONS,UNILEVER SRI LANKA LTD,LEVER AYUSH,CDBOX,TURMERIC,,25,GM,25.00 GM,202207,1
54259,LINK SUDANTHA CLINICALLY PROVEN DESTROY BAD BACTERIA 80 GM * 2 + SAVE RS 40,27,TOOTHPASTE,LINK NATURAL PRODUCT,LINK SUDANTHA,,,,160,GM,160.00 GM,202207,1
54273,CALIN SANDALWOOD PERFUMED SOAP 80 GM CDBOX,13,TOILET SOAP,DELMAR LANKA PVT LTD,CALIN,CDBOX,SANDALWOOD,,80,GM,80.00 GM,202207,1
54274,CALIN RED ANTI BACTERIAL SOAP 80 GM CDBOX,13,TOILET SOAP,DELMAR LANKA PVT LTD,CALIN,CDBOX,UNSPECIFIED,,80,GM,80.00 GM,202207,1
54275,"BABY CHERAMY FLORAL EXTRA.VITAMIN E,MILK BABY SOAP CDBOX (75*5) 375 GM + SAVE RS 166",13,TOILET SOAP,HEMAS MARKETING,BABY CHERAMY,CDBOX,FLORAL / MILK / VITAMINE E,,375,GM,375.00 GM,202207,1
54276,KHOMBA ORIGINAL HERBAL CARE 85 GM EWRPK,13,TOILET SOAP,SWADESHI INDUSTRIAL WORKS LTD,KHOMBA,EWRPK,HERBAL,,85,GM,85.00 GM,202207,1
54277,LIFEBUOY TOTAL 10 WITH PURE OLIVE OIL EWRPK (100*2) 200 GM + SAVE RS 5,13,TOILET SOAP,UNILEVER SRI LANKA LTD,LIFEBUOY,EWRPK,OLIVE OIL,,200,GM,200.00 GM,202207,1
54278,PEARS BABY ALOE VERA & NEEM CHOOTY PACK BABY SOAP 70 GM CDBOX,13,TOILET SOAP,UNILEVER SRI LANKA LTD,PEARS BABY,CDBOX,ALOEVERA & NEEM,,70,GM,70.00 GM,202207,1
54279,PEARS BABY PURE & GENTLE CHOOTY PACK BABY SOAP WITH OLIVE OIL & MOIST. CREAM 70 GM CDBOX,13,TOILET SOAP,UNILEVER SRI LANKA LTD,PEARS BABY,CDBOX,OLIVE OIL,,70,GM,70.00 GM,202207,1
54280,BRITOL NEW AROMA DETERGENT POWDER ROSE FRESH 55 GM PLPCH,15,WASHING POWDER,ANTLER INDUSTRIES (PVT) LTD,BRITOL,PLPCH,ROSE,,55,GM,55.00 GM,202207,1
54281,SUNLIGHT CLEAN & LEMON FRESH PERFUME LOCK 2 IN 1 DETERGENT POWDER 1000 GM PLPCH + SAVE RS 50,15,WASHING POWDER,UNILEVER SRI LANKA LTD,SUNLIGHT DETERGENT,PLPCH,LEMON,,1000,GM,1000.00 GM,202207,1
54282,SUNLIGHT CLEAN & JASMINE FRESH PERFUME LOCK 2 IN 1 DETERGENT POWDER 1000 GM PLPCH + SAVE RS 50,15,WASHING POWDER,UNILEVER SRI LANKA LTD,SUNLIGHT DETERGENT,PLPCH,JASMINE,,1000,GM,1000.00 GM,202207,1
54283,SUNLIGHT CLEAN & SAKURA FRESH PERFUME LOCK 2 IN 1 DETERGENT POWDER 1000 GM PLPCH + SAVE RS 50,15,WASHING POWDER,UNILEVER SRI LANKA LTD,SUNLIGHT DETERGENT,PLPCH,SAKURA,,1000,GM,1000.00 GM,202207,1
54284,NEW WONDERLIGHT JASMINE LAUNDRY BAR (110*2) 220 GM EWRPK + SAVE RS 20,16,WASHING SOAP,UNILEVER SRI LANKA LTD,WONDERLIGHT,EWRPK,JASMINE,,220,GM,220.00 GM,202207,1
54285,BORO PLUS ALOE VERA MILK CREAM BODY LOTION MOISTURISING FOR ALL SKIN TYPES 100 ML PLBOT,19,CREAMS & LOTIONS,EMAMI INDO LANKA PVT LTD,BORO PLUS,PLBOT,ALOEVERA & MILK,,100,ML,100.00 ML,202207,1
54287,HERB LINE PIMPLE CONTROL CLEANSING MILK OILY TO PIMPLE SKIN 120 ML PLBOT,19,CREAMS & LOTIONS,HERB LINE - SRI LANKA,HERB LINE,PLBOT,UNSPECIFIED,,120,ML,120.00 ML,202207,1
54288,PEARS BABY ACTIVE FLORAL BABY CREAM WITH MOISTURE CREAM 200 ML PLBOT,19,CREAMS & LOTIONS,UNILEVER SRI LANKA LTD,PEARS BABY,PLBOT,FLORAL,,200,ML,200.00 ML,202207,1
