PERIOD,AUDITTYPE,STORECODE,DLRCODE,ITEMCODE,CATEGORY,MANUFACTURE,BRAND,ITEMDESC,MRP,PACKSIZE,PACKTYPE,COMMENTS,IMAGE
202309,1,130622947,13168010001,1695703114819,28,A.V.N. PRODUCTS,A.V.N,A.V.N/100 GM/PKT/ CURRY POWDER,160,100 GM,PKT,,1695703114819-a-v-n- products-a-v-n#3.png
202309,1,130622947,13168010001,1695702730253,28,A.V.N. PRODUCTS,A.V.N,A.V.N/50 GM/PKT/CHILLI PIECES,90,50 GM,PKT,,1695702730253-a-v-n- products-a-v-n#3.png
202309,1,130622947,13168010001,1695702946988,28,KASUN FOOD PRODUCTS,KASUN,KASUN/250 GM/PKT/PEPPER POWDER,800,250 GM,PKT,,1695702946988-kasun food products-kasun#3.png
202309,1,130622947,13168010001,1695110716211,39,ATLAS AXILLIA CO. (PVT) LTD,ATLAS,ATLAS/1 NO/ SUN FLOWER YELLOW HB,40,1 NO,,,1695702946988-kasun food products-kasun#3.png
202309,1,118265274,14320010002,1695702756491,13,HERALIYAWELA INDUSTRIES,OMIL,"OMIL/100/GM/CDBOX/BABY SOAP/HERALIYAWELA INDUSTRIES ",135,"100GM ","CDBOX ",Sales Deviation is OK,1695702756491-heraliyawela industries-omil#3.png
202309,1,39505042,12103010005,1695457378893,16,"UNILEVER LANKA COUNSUMER ",WONDERLIGHT,"WONDERLIGHT/140/GM/FLWRP/LEMON FRESH ",80,140 GM,FLWRP,,1695702756491-heraliyawela industries-omil#3.png
202309,1,51239113,10263010001,1695443642060,16,UNILEVER SRI LANKA LTD,"WONDERLIGHT ",NEW WONDERLIGHT POWER LEMON FRESH 140G,80,140G,"PACKAT ",,1695702756491-heraliyawela industries-omil#3.png
202309,1,51239113,10263010001,1695703346428,28,HAYLI PRODUCTS,"HAYLI CHICKEN CURRY POWDER ","HAYLI CHICKEN CURRY POWDER 50G ",125,50G,"PACKAT ",,1695703346428-hayli products-hayli chicken curry powder #3.png
202309,1,133671024,19703010001,1695536847227,9,DIAMOND BEST FOODS (PVT) LTD,DIAMOND,"DIAMOND/200G/POLYPAK/1NO/FULL CREAM MILK POWDER ",530,"200G ","POLYPK ",Sales Deviation is OK,1695536847227-diamond best foods -pvt- ltd-diamond#3.png
202309,1,133671024,19703010001,1694851247546,16,UNILEVER SRI LANKA LTD,WONDERLIGHT,WONDERLIGHT POWER/140G/POLYPAK/1NO/LEMON FRESH,80,140G,"POLYPK ",Sales Deviation is OK,1695536847227-diamond best foods -pvt- ltd-diamond#3.png
