itemdesc,company,brand,packaging,qty,uomdesc,pack_size
STAR DISHWASH BAR WITH REAL LIME 100 GM (STAR HOLDINGS),STAR HOLDINGS INTERNATIONAL,STAR,,100,GM,100.00 GM
STAR LIGHT DISHWASH BAR FRESH LEMON WITH LIME 100 GM,STAR HOLDINGS INTERNATIONAL,STAR LIGHT,,100,GM,100.00 GM
STAR LIGHT DISHWASH BAR FRESH ORANGE WITH LIME 100 GM,STAR HOLDINGS INTERNATIONAL,STAR LIGHT,,100,GM,100.00 GM
VIM MAX POWER OF 100 LIMES (3*100G) 300 GM,UNILEVER SRI LANKA LTD,VIM,,300,GM,300.00 GM
VIM ANTI-BACTERIAL WITH LIME & NEEM 100 GM,UNILEVER SRI LANKA LTD,VIM,,100,GM,100.00 GM
VIM EXTRA ANTI SMELL LEMON & MINT 100 GM,UNILEVER SRI LANKA LTD,VIM,,100,GM,100.00 GM
VIM POWER OF 100 LIMES 100 GM,UNILEVER SRI LANKA LTD,VIM,,100,GM,100.00 GM
VIM WITH REAL LIME JUICE(TURBO) 100 GM,UNILEVER SRI LANKA LTD,VIM,,100,GM,100.00 GM
VIM POWER OF 100 LIMES 200 GM,UNILEVER SRI LANKA LTD,VIM,,200,GM,200.00 GM
VIM WITH REAL LIME JUICE(TURBO) 200 GM,UNILEVER SRI LANKA LTD,VIM,,200,GM,200.00 GM
VIM POWER OF 100 LIMES 400 GM,UNILEVER SRI LANKA LTD,VIM,,400,GM,400.00 GM
LUTY WITH REAL LIME DISH WASH LIQUID 500 ML,AAEJEY CONSUMER COMPANY,LUTY,,500,ML,500.00 ML
BRITOL DISH LIQUID ORIGINAL LIME 500 ML,ANTLER INDUSTRIES (PVT) LTD,BRITOL,,500,ML,500.00 ML
BRITOL LEMON DISH LIQUID ORIGINAL 500 ML,ANTLER INDUSTRIES (PVT) LTD,BRITOL,,500,ML,500.00 ML
BCC DISHWASH LIQUID 600 ML,BCC LANKA LTD,BCC,,600,ML,600.00 ML
BEST LIME- DISH WASH 500 ML (BEST PRODUCTS),BEST PRODUCTS,BEST,,500,ML,500.00 ML
CROWN DISH WASH LIME 500 ML,CROWN MARKETING,CROWN,,500,ML,500.00 ML
SPARK LIME DISH WASHING LIQUID 500 ML,DACOLL PVT LTD,SPARK,,500,ML,500.00 ML
TEEPOL LIME WITH ALOEVERA SOFT ON HANDS DISHWASH LIQUID GEL 500 ML,DARLEY BUTLER,TEEPOL,,500,ML,500.00 ML
TEEPOL ORANGE WITH ALOEVERA DISH WASH LIQUID GEL 500 ML,DARLEY BUTLER,TEEPOL,,500,ML,500.00 ML
DEW POWER OF LIME DISH WASH LIQUID 450 ML (DEAR PRODUCTS),DEAR PRODUCTS,DEW,,450,ML,450.00 ML
DELCARE LIME FRESH LIQUID DISHWASH 500 ML,DELMEGE FORSYTH & CO.LTD,DELCARE,,500,ML,500.00 ML
SUPIRISIDU ANTIBACTERIAL DISH WASH 500 ML,DESHANI ENTERPRISES,SUPIRISIDU,,500,ML,500.00 ML
SUPIRISIDU LEMON FRESH LIQUID DISHWASH 500 ML,DESHANI ENTERPRISES,SUPIRISIDU,,500,ML,500.00 ML
PURO LIME DISH WASH 500 ML,EMPRO TECHNOLOGY (PVT) LTD,PURO,,500,ML,500.00 ML
PURO ORANGE DISH WASH 500 ML,EMPRO TECHNOLOGY (PVT) LTD,PURO,,500,ML,500.00 ML
EVERY FLASH LIQUID DISH WASH LIME FRAGRANCE 300 ML,EVERY FLASH INDUSTRIES,EVERY FLASH,,300,ML,300.00 ML
ECO-LIFE LIME DISH WASHING LIQUID 490 ML,GLAN INTERNATIONAL,ECO-LIFE,,490,ML,490.00 ML
HP KERALA DISH WASH LIQUID 250 ML,HANA PRODUCTS,HP,,250,ML,250.00 ML
HP KERALA DISH WASH LIQUID 500 ML,HANA PRODUCTS,HP,,500,ML,500.00 ML
HICARE DISH WASH ANTI BACTERIAL 500 ML,HI-CARE PHARMA PVT LTD,HICARE,,500,ML,500.00 ML
KEN LIME FRESH DISHWASH LIQUID 250 ML,KEN LANKA TRADING LTD,KEN,,250,ML,250.00 ML
TEEPOL LEMONY LIMEDISH WASH LIQUID GEL 500 ML,DARLEY BUTLER,TEEPOL,,500,ML,500.00 ML
TEEPOL LIME FRESH - DISHWASH 500 ML,DARLEY BUTLER,TEEPOL,,500,ML,500.00 ML
LEO LIFE DISH LIQUID ORIGINAL 500 ML,LAXMI CHEM DETERGENT,LEO LIFE,,500,ML,500.00 ML
VIN DOUBLE ACTION LIME DISH WASH 500 ML,LEAD MARKETING (PVT) LTD,VIN,,500,ML,500.00 ML
DASH (MULTI CHEMI INT.) DISH WASH 500 ML,MULTI CHEMI INTERNATIONAL LTD,DASH,,500,ML,500.00 ML
DASH (MULTI CHEMI INT.) DISH WASH TURF ON GIRME FREE & CLEAR 500 ML,MULTI CHEMI INTERNATIONAL LTD,DASH,,500,ML,500.00 ML
