itemdesc,company,brand,packaging,qty,uomdesc,pack_size
DOVE NUTRITIVE SOLUTIONS OXYGEN MOISTURE SHAMPOO PLBOT 180 ML + SAVE RS 40,UNILEVER SRI LANKA LTD,DOVE,PLBOT,180,ML,180.00 ML
HERBAL BLOOMS LIMEE & FUNEGREEK SHAMPOO 100 ML CDBOX,MEDICHEMY PHARMACEUTICAL,HERBAL BLOOMS,CDBOX,100,ML,100.00 ML
CHIK PROTEIN SOLUTIONS HIBISCUS & MILK PROTEIN 40 ML PLBOT,CAVINKARE PRIVATE LIMITED,CHIK SHAMPOO,PLBOT,40,ML,40.00 ML
ASHAN - EXERCISE BOOK (A5) 80 PGS - 1 NO,ASHAN BOOK INDUSTRIES,ASHAN,,1,NO,1.00 NO
ATASO - EXERCISE BOOK (A5) 80 PGS - 1 NO,ATASO BOOKS MANUFACTURING COMPANY,ATASO,,1,NO,1.00 NO
ATASO - DRAWING BOOK (A4) 80 PGS - 1 NO,ATASO BOOKS MANUFACTURING COMPANY,ATASO,,1,NO,1.00 NO
ATASO - EXERCISE BOOK (A5) 160 PGS - 1 NO,ATASO BOOKS MANUFACTURING COMPANY,ATASO,,1,NO,1.00 NO
REYNOLDS - EXERCISE BOOK (A5) 400 PGS - 1 NO,CARE PRODUCTS (PVT) LTD,REYNOLDS,,1,NO,1.00 NO
DUMINDU KIDS PRACTICAL BOOK DOUBLE RULE 80 PGS- A5 - 1 NO,DUMINDU INDUSTRIES AND PRINTERS PVT LTD,DUMINDU KIDS,,1,NO,1.00 NO
NSB - ORANGE NOTEBOOK (A7) 80 PGS - 1 NO,NSB EXERCISE BOOKS INDUSTRIES,NSB,,1,NO,1.00 NO
RATHNA - NOTEBOOK (A6) 80 PGS - 1 NO,PRINT EXCEL PVT LTD,RATHNA,,1,NO,1.00 NO
RANGANA - DRAWING BOOK (A4) 80 PGS - 1 NO,RANGANA BOOK INDUSTRIES,RANGANA,,1,NO,1.00 NO
RANGANA - CR BOOK (A4) 200 PGS - 1 NO,RANGANA BOOK INDUSTRIES,RANGANA,,1,NO,1.00 NO
RANGANA - EXERCISE BOOK (A5) 80 PGS - 1 NO,RANGANA BOOK INDUSTRIES,RANGANA,,1,NO,1.00 NO
RANGANA - PRACTICAL BOOK 1 INCH (A5) 80 PGS - 1 NO,RANGANA BOOK INDUSTRIES,RANGANA,,1,NO,1.00 NO
RANGANA - CR BOOK (A4) 80 PGS - 1 NO,RANGANA BOOK INDUSTRIES,RANGANA,,1,NO,1.00 NO
RANGANA - EXERCISE BOOK (A5) 40 PGS - 1 NO,RANGANA BOOK INDUSTRIES,RANGANA,,1,NO,1.00 NO
RUHUNU - CR BOOK (A4) 80 PGS - 1 NO,RUHUNU STATIONERY,RUHUNU,,1,NO,1.00 NO
RUHUNU - EXERCISE BOOK (A5) 40 PGS - 1 NO,RUHUNU STATIONERY,RUHUNU,,1,NO,1.00 NO
SAMAGI - EXERCISE BOOK (A5) 80 PGS - 1 NO,SAMAGI STATIONERY,SAMAGI,,1,NO,1.00 NO
SPC - EXERCISE BOOK (A5) 200 PGS - 1 NO,STATE PRINTING CORPORATION,SPC,,1,NO,1.00 NO
ATLAS CHAMP - BALL POINT PEN - 1 NO,ATLAS AXILLIA CO. (PVT) LTD,ATLAS CHAMP,,1,NO,1.00 NO
HI-TECH - (IMPORTED) - POWER GLUE 3 GM TUBE,IMPORTED,HI-TECH,TUBE,3,GM,3.00 GM
HI-TECH - (IMPORTED) - SUPER GLUE 3 GM TUBE,IMPORTED,HI-TECH,TUBE,3,GM,3.00 GM
ALTECO - (ASEAN HARDWARE PTE LTD) - SUPER GLUE 3 GM TUBE,ASEAN HARDWARE PTE LTD,ALTECO,TUBE,3,GM,3.00 GM
MANGO - (THE PEN FACTORY PVT LTD) - BINDER GLUE 40 GM PLBOT,THE PEN FACTORY PVT LTD,MANGO,PEN,40,GM,40.00 GM
ASHAN - EXERCISE BOOK (A5) 160 PGS - 1 NO,ASHAN BOOK INDUSTRIES,ASHAN,,1,NO,1.00 NO
ASHEN - EXERCISE BOOK (A5) 80 PGS - 1 NO,ASHEN STATIONERIES,ASHEN,,1,NO,1.00 NO
RATHNA - PRACTICAL BOOK 1/2 INCH SINGLE RULE (A5) 80 PGS- A5 - 1 NO,PRINT EXCEL PVT LTD,RATHNA,,1,NO,1.00 NO
RATHNA - PRACTICAL BOOK FIVE RULE (A5) 80 PGS - 1 NO,PRINT EXCEL PVT LTD,RATHNA,,1,NO,1.00 NO
ATLAS - ANTI BACTERIAL EXERCISE BOOK (A5) 80 PGS - 1 NO,ATLAS AXILLIA CO. (PVT) LTD,ATLAS,,1,NO,1.00 NO
MANGO 2K -- BALL POINT PEN - 1 NO,PRINT EXCEL PVT LTD,MANGO 2K,,1,NO,1.00 NO
DILAX N-C PAINT THINNER - 2 L PLCAN,DILAX CHEMICAL (PVT) LTD,DILAX N-C THINNER,PLCAN,2000,ML,2000.00 ML
MACKSOL ECONOMY EMULSION PAINT - COLOURS 1 L - INTERIOR,MACKSOL PAINT (PVT) LTD,MACKSOL-ECONOMY,PL-CANISTER,1000,ML,1000.00 ML
VERON EMULSION PAINTS-BRITER LOOK WIDER COVERAGE - BRILLIANT WHITE 4 L - INTERIOR,NIPPON PAINT LANKA (PVT) LTD,VERON,PL-CANISTER,4000,ML,4000.00 ML
MULTICO ACRYLIC WALL FILLER 10 L - INTERIOR,MAYURA COLOR PAINTS LANKA,MULTICO,PL-CANISTER,10000,ML,10000.00 ML
MULTICO ACRYLIC WALL FILLER 4 L - INTERIOR,MAYURA COLOR PAINTS LANKA,MULTICO,PL-CANISTER,4000,ML,4000.00 ML
MULTICO EMULSION PAINT - COLOURS 4 L - INTERIOR,MAYURA COLOR PAINTS LANKA,MULTICO,PL-CANISTER,4000,ML,4000.00 ML
ASIAN PAINTS-CHOICE - EMULSION PAINT - BRILLIANT WHITE 4 L - INTERIOR,ASIAN PAINTS,ASIAN PAINTS-CHOICE,PL-CANISTER,4000,ML,4000.00 ML
ASIAN PAINTS-CHOICE - EMULSION PAINT - BRILLIANT WHITE 1 L - INTERIOR,ASIAN PAINTS,ASIAN PAINTS-CHOICE,PL-CANISTER,1000,ML,1000.00 ML
ASIAN PAINTS-CHOICE - EMULSION PAINT - BRILLIANT WHITE 20 L - INTERIOR,ASIAN PAINTS,ASIAN PAINTS-CHOICE,PL-CANISTER,20000,ML,20000.00 ML
ASIAN PAINTS-AP WALLFILL-ACRYLIC WALL FILLER 1 L - INTERIOR,ASIAN PAINTS,AP WALLFILL,PL-CANISTER,1000,ML,1000.00 ML
ROYAL PAINT REALUX-ACRYLIC WALL FILLER 4 L - EXTERIOR,ROYAL PAINTS LANKA,ROYAL PAINT-REALUX,PL-CANISTER,4000,ML,4000.00 ML
BERLUX GLOSS PLUS PAINT- BRILLIANT WHITE 500 ML - INTERIOR,BERLUX PAINTS (PVT) LTD,BERLUX,PL-CANISTER,500,ML,500.00 ML
STANDARD PAINTS- EMULSION - COLOURS 4 L - INTERIOR,STANDARD INDUSTRIES (PVT) LTD - (STANDARD CONSTRUCTION),STANDARD PAINTS,PL-CANISTER,4000,ML,4000.00 ML
STANDARD PAINTS- WEATHERSHIELD - COLOURS 4 L - EXTERIOR,STANDARD INDUSTRIES (PVT) LTD - (STANDARD CONSTRUCTION),STANDARD PAINTS,PL-CANISTER,4000,ML,4000.00 ML
STANDARD PAINTS- EMULSION - COLOURS 1 L - INTERIOR,STANDARD INDUSTRIES (PVT) LTD - (STANDARD CONSTRUCTION),STANDARD PAINTS,PL-CANISTER,1000,ML,1000.00 ML
KANSAI PAINT WALL FILLER 1 L - INTERIOR & EXTERIOR,KANSAI PAINT LANKA PVT LTD,KANSAI PAINT,PL-CANISTER,1000,ML,1000.00 ML
BEAUTILAC EMULSION PAINT - COLOURS 4 L - INTERIOR,BEAUTILAC COATINGS (PVT) LTD,BEAUTILAC,PL-CANISTER,4000,ML,4000.00 ML
STANDARD PAINTS-ACRYLIC WALL FILLER 20 L - EXTERIOR,STANDARD INDUSTRIES (PVT) LTD - (STANDARD CONSTRUCTION),STANDARD PAINTS,PL-CANISTER,20000,ML,20000.00 ML
STANDARD PAINTS-ACRYLIC WALL FILLER 4 L - INTERIOR,STANDARD INDUSTRIES (PVT) LTD - (STANDARD CONSTRUCTION),STANDARD PAINTS,PL-CANISTER,4000,ML,4000.00 ML
DUWEL INTERIOR EMULSION - BRILLIANT WHITE 10 L - INTERIOR,AKZO NOBEL,DUWEL,PL-CANISTER,10000,ML,10000.00 ML
DUWEL INTERIOR EMULSION - BRILLIANT WHITE 4 L - INTERIOR,AKZO NOBEL,DUWEL,PL-CANISTER,4000,ML,4000.00 ML
MULTICO ACRYLIC WALL FILLER 1 L - INTERIOR,MAYURA COLOR PAINTS LANKA,MULTICO,PL-CANISTER,1000,ML,1000.00 ML
MULTICO WEATHERSHADE PAINT - COLOURS 4 L - EXTERIOR,MAYURA COLOR PAINTS LANKA,MULTICO,PL-CANISTER,4000,ML,4000.00 ML
MULTICO WEATHERSHADE PAINT - COLOURS 1 L - EXTERIOR,MAYURA COLOR PAINTS LANKA,MULTICO,PL-CANISTER,1000,ML,1000.00 ML
MULTICO EMULSION PAINT - COLOURS 1 L - INTERIOR,MAYURA COLOR PAINTS LANKA,MULTICO,PL-CANISTER,1000,ML,1000.00 ML
DILAX WOOD PRESERVATIVE CLEAR - 10 L PLCAN,DILAX CHEMICAL (PVT) LTD,DILAX,PLCAN,10000,ML,10000.00 ML
"LANKA PAINT BRUSH - 0.5"" 1 NO",AMBAKADAWARA PRODUCTS,LANKA PAINT,CB COVER,1,NO,1.00 NO
"LANKA PAINT BRUSH - 0.25"" (1\4"") 1 NO",AMBAKADAWARA PRODUCTS,LANKA PAINT,CB COVER,1,NO,1.00 NO
"LANKA PAINT BRUSH - 3"" 1 NO",AMBAKADAWARA PRODUCTS,LANKA PAINT,POLYTHENE,1,NO,1.00 NO
"GOLD BLACK & WHITE-TWO IN ONE-WATER BASE + SOLVENT BASE WOOD BRUSH- 5"" 1 NO (TRADENET MARKETING)",TRADENET MARKETING SERVICES,GOLD BLACK & WHITE,CB COVER,1,NO,1.00 NO
"SRL PAINT BRUSH - 2"" 1 NO",SRL PRODUCTS,SRL,CB COVER,1,NO,1.00 NO
"SRL PAINT BRUSH - 1"" 1 NO",SRL PRODUCTS,SRL,CB COVER,1,NO,1.00 NO
"SRL PAINT BRUSH - 4"" 1 NO",SRL PRODUCTS,SRL,CB COVER,1,NO,1.00 NO
"SRL PAINT BRUSH - 0.25"" (1\4"") 1 NO",SRL PRODUCTS,SRL,CB COVER,1,NO,1.00 NO
"SRL PAINT BRUSH - 1.5"" 1 NO",SRL PRODUCTS,SRL,CB COVER,1,NO,1.00 NO
"RAVI CLASSIC PRO BRUSH - 0.75"" (3/4"") 1 NO",HAYLEYS COMPANY,RAVI CLASSIC PRO,CB & POLYTHINE,1,NO,1.00 NO
"ARPICO-ALL PURPOSE PAINT BRUSH - 2.5"" 1 NO",R P C POLYMERS (PVT) LTD,ARPICO,CB COVER,1,NO,1.00 NO
ALOKA CHILLI PIECES 250 GM PLPCH,ALOKA FOOD PRODUCTS,ALOKA,PLPCH,250,GM,250.00 GM
ALOKA ROASTED CHILLI POWDER 100 GM PLPCH,ALOKA FOOD PRODUCTS,ALOKA,PLPCH,100,GM,100.00 GM
ALOKA ROASTED CHILLI POWDER 250 GM PLPCH,ALOKA FOOD PRODUCTS,ALOKA,PLPCH,250,GM,250.00 GM
ALOKA CHILLI PIECES 100 GM PLPCH,ALOKA FOOD PRODUCTS,ALOKA,PLPCH,100,GM,100.00 GM
ALOKA TURMERIC POWDER 20 GM PLPCH,ALOKA FOOD PRODUCTS,ALOKA,PLPCH,20,GM,20.00 GM
RM TURMERIC POWDER 25 GM PLPCH,RM PRODUCTS,RM,PLPCH,25,GM,25.00 GM
M.G.M CHILLI PIECES 50 GM PLPCH (MAHINDA GRIN. MILLS),MAHINDA GRINDING MILLS,M.G.M,PLPCH,50,GM,50.00 GM
M.G.M CHILLI POWDER 100 GM PLPCH (MAHINDA GRIN. MILLS),MAHINDA GRINDING MILLS,M.G.M,PLPCH,100,GM,100.00 GM
M.G.M CHILLI PIECES 100 GM PLPCH (MAHINDA GRIN. MILLS),MAHINDA GRINDING MILLS,M.G.M,PLPCH,100,GM,100.00 GM
FS JAFFNA CURRY MASALA 40 GM PLPCH,FS PRODCUTS,FS,PLPCH,40,GM,40.00 GM
FS BIRIYANI MASALA 40 GM PLPCH,FS PRODCUTS,FS,PLPCH,40,GM,40.00 GM
SAMAN SPECIAL MEAT CURRY POWDER 25 GM PLPCH,SAMAN FOODS PVT LTD,SAMAN,PLPCH,25,GM,25.00 GM
PIYUMI ROASTED CURRY POWDER 100 GM PLPCH,PIYUMI PRODUCTS,PIYUMI,PLPCH,100,GM,100.00 GM
PIYUMI CHILLI POWDER 100 GM PLPCH,PIYUMI PRODUCTS,PIYUMI,PLPCH,100,GM,100.00 GM
PIYUMI TURMERIC POWDER 20 GM PLPCH,PIYUMI PRODUCTS,PIYUMI,PLPCH,20,GM,20.00 GM
PIYUMI CHILLI PIECES 100 GM PLPCH,PIYUMI PRODUCTS,PIYUMI,PLPCH,100,GM,100.00 GM
WIJAYA FISH CURRY POWDER 25 GM PLPCH,WIJAYA PRODUCTS (PVT) LTD,WIJAYA,PLPCH,25,GM,25.00 GM
RASHIKA SAVOURY BISCUITS 12 GM PLPCH,RASHIKA TRADING (PVT) LTD,RASHIKA MILK SHORTIES,PLPCH,12,GM,12.00 GM
MUNCHEE CHOCOLATE CHIP COOKIES 100 GM PLPCH,CEYLON BISCUITS LIMITED,MUNCHEE CHO CHIP COOKIES,PLPCH,100,GM,100.00 GM
KEELLS KREST CURRY SOYA MEAT 90 GM PLPCH,KEELLS FOOD PRODUCTS LTD,KEELLS KREST,PLPCH,90,GM,90.00 GM
ARPICO CHEF VENISON FLAVOURED SOYA MEAT 50 GM PLPCH,MASKELIYA TEA GARDENS CEYLON LTD,ARPICO CHEF,PLPCH,50,GM,50.00 GM
REVIVA PURE CEYLON TEA PLPCH 100 GM + SAVE RS 20,REVIVA TEAS (PVT) LTD,REVIVA,PLPCH,100,GM,100.00 GM
TEEBEEZ TEA 50 GM PLPCH,OUR OWN FOODS (PVT)LTD,TEEBEEZ,PLPCH,50,GM,50.00 GM
FAMLIA THE NATURAL SECRET OF BEAUTY SOAP 125 GM CDBOX,GODAKANDA HERBALS (PVT) LTD - (VENDOL LANKA),FAMLIA,CDBOX,125,GM,125.00 GM
SUPIRISIDU SPEED ACTION CLOQUEEN ORGINEL LIQUID BLEACH 500 ML PLBOT,DESHANI ENTERPRISES,SUPIRISIDU,,500,ML,500.00 ML
SWISSTEK LIGHT DIRT TILE CLEANER LAVANDER 500 ML PLBOT,SWISSTEK (CEYLON) PLC,SWISSTEK,PLBOT,500,ML,500.00 ML
SWISSTEK LIGHT DIRT TILE CLEANER LIME 1000 ML PLBOT,SWISSTEK (CEYLON) PLC,SWISSTEK,PLBOT,1000,ML,1000.00 ML
DASH COMEX TUFF TOILET BOWL CLEANER 200 ML PLBOT,MULTI CHEMI INTERNATIONAL LTD,DASH,PLBOT,200,ML,200.00 ML
PIURA LEMON FRESH DISHWASH LIQUID DETERGENT 225 ML PLBOT,OXY HOLDING PVT LTD,PIURA,PLBOT,225,ML,225.00 ML
CEYLON RICH FOODS SPECIAL NOODLES 400 GM PLPCH,CEYLON RICH FOOD PVT LTD,CEYLON RICH FOODS,PLPCH,400,GM,400.00 GM
FIESTA NOODLES 400 GM PLPCH,AMTRON MARKETING SERVICES,FIESTA,PLPCH,400,GM,400.00 GM
F N NOODLES 500 GM PLPCH,F N SUPER FOOD PRODUCTS,F N,PLPCH,500,GM,500.00 GM
4 EVER HAIR FALL & DAMAGE CONTROL HIBISCUS SHAMPOO WITH CONDITIONER 30 ML PLBOT,4 EVER SKIN NATURALS (PVT) LTD,4 EVER,PLBOT,30,ML,30.00 ML
SAYURI TURMERIC POWDER 25 GM PLPCH,SAYURI PRODUCTS,SAYURI,PLPCH,25,GM,25.00 GM
PABASARA CURRY POWDER 50 GM PLPCH,PABASARA PRODUCTS,PABASARA,PLPCH,50,GM,50.00 GM
INDIKA CHILLI PIECES 100 GM PLPCH,INDIKA FOOD PRODUCTS,INDIKA,PLPCH,100,GM,100.00 GM
INDIKA CHILLI PIECES 50 GM PLPCH,INDIKA FOOD PRODUCTS,INDIKA,PLPCH,50,GM,50.00 GM
VIVYA (HEMAS) ADVAN. RADIANCE DAY CREAM HEIRLOOM RICE EXTRACT 25 GM CDBOX,HEMAS MARKETING,VIVYA,CDBOX,25,GM,25.00 GM
BABY CHERAMY PICHCHA AND KASTURI KAHA HERBAL BABY LOTION 100 ML PLBOT,HEMAS MARKETING,BABY CHERAMY,PLBOT,100,ML,100.00 ML
VIVYA (HEMAS) INTENSE RESTORE NIGHT CREAM 30 GM CDBOX,HEMAS MARKETING,VIVYA,CDBOX,30,GM,30.00 GM
EMAMI FAIR AND HANDSOME LASER 12 ADVANCED WHITENING 15 GM CDBOX (EMAMI INDO LANKA),EMAMI INDO LANKA PVT LTD,FAIR & HANDSOME,CDBOX,15,GM,15.00 GM
FACE CARE ANTI AGING FAIRNESS CREAM 12.5 GM CDBOX (ABC HERBALS (PVT) LTD),ABC HERBALS (PVT) LTD,FACE CARE,CDBOX,13,GM,12.50 GM
SMART SOYA MEAT CURRY FLAVOUR 50 GM PLPCH,SHA LANKA TRADING,SMART,PLPCH,50,GM,50.00 GM
SMART SOYA MEAT CUTTLE FISH FLAVOUR 50 GM PLPCH,SHA LANKA TRADING,SMART,PLPCH,50,GM,50.00 GM
ASHAN DANANJAYA PURE TEA 20 GM PLPCH,ASHAN DANANJAYA PRODUCTS,ASHAN DANANJAYA,PLPCH,20,GM,20.00 GM
VIHANSA ISTHARAM TEA 50 GM PLPCH,VIHANSA PRODUCTS,VIHANSA,PLPCH,50,GM,50.00 GM
RASHIKA HEENRELLA NOODLES WITH TOMATO SAUCE 400 GM PLPCH,RASHIKA TRADING (PVT) LTD,RASHIKA,PLPCH,400,GM,400.00 GM
DIL CHILLI PIECES 100 GM PLPCH,DIL FOODS,DIL,PLPCH,100,GM,100.00 GM
DIL CHILLI PIECES 250 GM PLPCH,DIL FOODS,DIL,PLPCH,250,GM,250.00 GM
RDS PEPPER POWDER 7 GM PLPCH,RDS PRODUCTS,RDS,PLPCH,7,GM,7.00 GM
SEWWANDI MEAT CURRY POWDER 20 GM PLPCH (SEWWANDI FOOD PRODUCTS),SEWWANDI FOOD PRODUCTS,SEWWANDI,PLPCH,20,GM,20.00 GM
A.M.C TURMERIC POWDER 25 GM PLPCH,A.M.C PRODUCTS,A.M.C,PLPCH,25,GM,25.00 GM
A.M.C CHILLI PIECES 50 GM PLPCH,A.M.C PRODUCTS,A.M.C,PLPCH,50,GM,50.00 GM
REAL TASTE CHILLI PIECES 100 GM PLPCH,REAL TASTE SPICES (PVT) LTD,REAL TASTE,PLPCH,100,GM,100.00 GM
NEW SUNLIGHT WITH REAL LEMON EWRPK (80*4) + SAVE RS 20,UNILEVER SRI LANKA LTD,SUNLIGHT,EWRPK,320,GM,320.00 GM
STAR POWER LIME & JASMINE DETERGENT SOAP 100 GM EWRPK,STAR HOLDINGS INTERNATIONAL,STAR POWER,EWRPK,100,GM,100.00 GM
STAR POWER ORANGE & LIME DETERGENT SOAP 100 GM EWRPK,STAR HOLDINGS INTERNATIONAL,STAR POWER,EWRPK,100,GM,100.00 GM
NEW WONDERLIGHT KOHOMBA & LIME 115 GM EWRPK,UNILEVER SRI LANKA LTD,WONDERLIGHT,EWRPK,115,GM,115.00 GM
LANKALIGHT (DARE HOUSEHOLD) LEMON + FLORAL FRAGRANCE LAUNDRY SOAP 160 GM EWRPK,DARE HOUSEHOLD PRODUCTS,LANKALIGHT,EWRPK,160,GM,160.00 GM
LIGHT DETERGENT SOAP 120 GM EWRPK,LUCKJAYA INDUSTRIES,LIGHT,EWRPK,120,GM,120.00 GM
LION BRAND DETERGENT SOAP WITH LEMON FRESH 120 GM EWRPK,KELANI BIO HERBAL PRODUCTS CO.,LION BRAND,EWRPK,120,GM,120.00 GM
SUPIRISIDU LAUNDRY SAOP 120 GM EWRPK,DESHANI ENTERPRISES,SUPIRISIDU,EWRPK,120,GM,120.00 GM
LAK BAR SOAP 600 GM EWRPK,SWADESHI INDUSTRIAL WORKS LTD,LAK BAR,EWRPK,600,GM,600.00 GM
TIARA VANILLA SPONGE LAYER CAKE 480 GM CDBOX,CEYLON BISCUITS LIMITED,TIARA,CDBOX,480,GM,480.00 GM
TIARA CHOCOLATE SPONGE LAYER CAKE 480 GM CDBOX,CEYLON BISCUITS LIMITED,TIARA,CDBOX,480,GM,480.00 GM
RITZBURY CHOCO-MO 20 GM CDBOX,CEYLON BISCUITS LIMITED,RITZBURY CHOCO-MO,CDBOX,20,GM,20.00 GM
RITZBURY CASHEW NUT 50 GM EWRPK,CEYLON BISCUITS LIMITED,RITZBURY CASHEW NUT,EWRPK,50,GM,50.00 GM
KANDOS CHOCONUTS FAMILY CHOICE 115 GM CDBOX,CEYLON CHOCOLATES,KANDOS CHOCONUTS,CDBOX,115,GM,115.00 GM
DIANA CHOCO BIX MILK CHOCO COATED COOKIES 100 GM CDBOX,DIANA CHOCOLATES (PVT) LTD,DIANA CHOCO BIX,CDBOX,100,GM,100.00 GM
TOBLO CHOCONUTS CHOCO COATED PEANUTS 80 GM CDBOX,RANDEEP TRADING COMPANY,TOBLO,CDBOX,80,GM,80.00 GM
CHITO CREAMY LOLLIPOP STRAWEBERRY 1 NO (8 GM),SUNSHINE COUNSUMER LANKA LTD,CHITO,,1,NO,1.00 NO
SAKURA SWEETS LOLLIPOP 1 NO,SAKURA SWEETS,SAKURA,,1,NO,1.00 NO
CIC CREAMOO MIXED BERRY DRINKING YOGHURT 185 ML PLBOT,CIC DAIRIES PRODUCTS,CIC,PLBOT,185,ML,185.00 ML
LAKSIRI SET YOGHURT 80 ML PLCUP,DK LAKSIRI YOGHURT,LAKSIRI,PLCUP,80,ML,80.00 ML
LACTOGROW COMFOPRO 3 1-3 YEARS 300 GM CD BOX,NESTLE LANKA,LACTOGROW 3,CDBOX,300,GM,300.00 GM
KHOMBA BABY COLOGNE FLORAL FRESH FRAGRANCE 50 ML CDBOX,SWADESHI INDUSTRIAL WORKS LTD,KHOMBA,CDBOX,50,ML,50.00 ML
EMBRACE FERRERA VIP ROSE 100 ML CDBOX (IMPORTED),IMPORTED,ANGELS FERRERA,CDBOX,100,ML,100.00 ML
IDEAL MIRAGE NATURAL SPRAY CDBOX 60 ML,C.B COSMETICS,IDEAL,CDBOX,60,ML,60.00 ML
MD KHEER RICE PUDDING MIX 125 GM CDBOX,LANKA CANNERIES,MD,CDBOX,125,GM,125.00 GM
RAINERS EGG YELLOW COLOUR 28 ML GBT,SHAW WALLACE CEYLON LTD,RAINERS EGG YELLOW,GBT,28,ML,28.00 ML
"GLANRICH BLACK RANGE-ALL PURPOSE BRUSH- 2"" 1 NO",GLANRICH (PVT) LTD,GLANRICH,CB COVER,1,NO,1.00 NO
"GLANRICH BLACK RANGE-ALL PURPOSE BRUSH- 4"" 1 NO",GLANRICH (PVT) LTD,GLANRICH,CB COVER,1,NO,1.00 NO
"BLACK & WHITE-TWO IN ONE WOOD BRUSH- 2"" 1 NO (MULTI STEEL)",MULTI STEEL COMPANY,BLACK & WHITE,CB COVER,1,NO,1.00 NO
"BLACK & WHITE-TWO IN ONE WOOD BRUSH- 4"" 1 NO (MULTI STEEL)",MULTI STEEL COMPANY,BLACK & WHITE,CB COVER,1,NO,1.00 NO
WIJAYA PURE CEYLON TEA 100 GM PLPCH,WIJAYA PRODUCTS (PVT) LTD,WIJAYA,PLPCH,100,GM,100.00 GM
ZESTA PREMIUM BOPF 25 TEA BAGS 50 GM CDBOX,SUNSHINE COUNSUMER LANKA LTD,ZESTA,CDBOX,50,GM,50.00 GM
DETTOL PROFRESH COOL BUY 2 EWRPK (70*2) 140 GM + SAVE RS 15,RECKITT BENCKISER (LANKA) LTD,DETTOL,EWRPK,140,GM,140.00 GM
DETTOL ORIGINAL BUY 2 EWRPK (70*2) 140 GM + SAVE RS 15,RECKITT BENCKISER (LANKA) LTD,DETTOL,EWRPK,140,GM,140.00 GM
TIDE-EX DISH WASH LIQUID 500 ML PLBOT,CLEANCARE MARKETING,TIDE-EX,PLBOT,500,ML,500.00 ML
SUPIRISIDU LIME ANTIBACTERIAL DISH WASH LIQUID 250 ML PLBOT,DESHANI ENTERPRISES,SUPIRISIDU,PLBOT,250,ML,250.00 ML
CATCH CHINESE NOODLES 400 GM PLPCH (NEW LLOYDS),NEW LLOYDS LTD,CATCH,PLPCH,400,GM,400.00 GM
NEW PEARS VENIVEL & TURMERIC BABY SOAP FAMILY PACK CDBOX (95*4) 380 GM + SAVE RS 15,UNILEVER SRI LANKA LTD,PEARS BABY,CDBOX,380,GM,380.00 GM
NEW PEARS ALOVERA & NEEM BABY SOAP FAMILY PACK CDBOX (95*4) 380 GM + SAVE RS 15,UNILEVER SRI LANKA LTD,PEARS BABY,CDBOX,380,GM,380.00 GM
CALIN NILE FRESH PERFUMED DETERGENT POWDER 1000 GM PLPCH,DELMAR LANKA PVT LTD,CALIN,PLPCH,1000,GM,1000.00 GM
FEMS SUPERIOR HEAVY FLOW -WINGS 8 NO,HEMAS MARKETING,FEMS,8NO,8,NO,8.00 NO
RANLIYA LANKA CHILLI PIECES 50 GM PLPCH,RANLIYA LANKA FOOD PRODUCT,RANLIYA LANKA,PLPCH,50,GM,50.00 GM
RANLIYA LANKA TURMERIC POWDER 20 GM PLPCH,RANLIYA LANKA FOOD PRODUCT,RANLIYA LANKA,PLPCH,20,GM,20.00 GM
M.D.L TURMERIC POWDER 25 GM PLPCH,MITHUDANA LANKA PRODUCTS,M.D.L,PLPCH,25,GM,25.00 GM
AMILA CHILLI PIECES 100 GM PLPCH,AMILA PRODUCTS,AMILA,PLPCH,100,GM,100.00 GM
NAVODA GORAKA PASTE 250 GM PLCUP,NAVODA PRODUCTS,NAVODA,PLCUP,250,GM,250.00 GM
NAVODA GORAKA PASTE 100 GM PLCUP,NAVODA PRODUCTS,NAVODA,PLCUP,100,GM,100.00 GM
MAMA'S PRIDE BABY FABRIC SOFTNER 1000 ML PLBOT,ECODIFY SOLUTIONS PVT LTD,MAMA'S PRIDE,PLBOT,1000,ML,1000.00 ML
ONELA ONE LAST HERBAL ANTI DANDURF SHAMPOO 200 ML PLBOT,ONE HERBAL PRODUCTS,ONELA,PLBOT,200,ML,200.00 ML
DREAMRON (HARUMI) AMLA EXTRACT SHAMPOO FOR OILY HAIR 100 ML PLBOT,HARUMI HOLDINGS (PVT) LTD,DREAMRON,PLBOT,100,ML,100.00 ML
CHIK HIBISCUS DAMAGE PREVENTION THICK BEAUTIFUL HAIR SHAMPOO 40 ML PLBOT,CAVINKARE PRIVATE LIMITED,CHIK SHAMPOO,PLBOT,40,ML,40.00 ML
DINARA CHICKEN CHUTTA 25 GM PLPCH,DINARA ENTERPRISES,DINARA,PLPCH,25,GM,25.00 GM
MAMA'S PRIDE BABY FABRIC SOFTNER PLBOT 225 ML + 15 ML FREE (240 ML),ECODIFY SOLUTIONS PVT LTD,MAMA'S PRIDE,PLBOT,240,ML,240.00 ML
PENMARK - EXERCISE BOOK (A5) 80 PGS - 1 NO,PENMARK INTERNATIONAL (PVT) LTD,PENMARK,,1,NO,1.00 NO
PENMARK - CR BOOK (A4) 80 PGS - 1 NO,PENMARK INTERNATIONAL (PVT) LTD,PENMARK,,1,NO,1.00 NO
