MANUFACTURE,BRAND,ITEMDESC,QTY,UNIT,PACKSIZE,PACKTYPE,MATCHED,MATCH_ITEMDESC,MATCH_COMPANY,MATCH_BRAND,MATCH_PACKAGING,MATCH_QTY,MATCH_UNIT,MATCH_PACKSIZE,FUZZY_SCORE
PELWATTE DAIRY INDUSTRIES (PVT) LTD,PELWATTE,PELWATTE/200/G/PLPCH/FULL CREAM MILK POWDER,200,GM,200G,PLPCH,1,,,,,,,,
DELMAR LANKA PVT LTD,DELMALIGHT,DELMALIGHT/115×2/G/EWRPK/LIME FRESH SAVE RS 30,230,GM,230G,EWRPK,1,,,,,,,,
RECKITT BENCKISER (LANKA) LTD,HARPIC,HARPIC/500ML/PLBOT/POWER PLUS 10X ADVANCED ORIGINAL+FREE DIVA FRESH 200G,500,ML,500ML,PLBOT,0,HARPIC POWER PLUS 10/10 STAIN REMOVAL ORIGINAL 500 ML PLBOT + FREE TOILET BRUSH,RECKITT BENCKISER (LANKA) LTD,HARPIC,PLBOT,500,ML,500.00 ML,0.57
SUNSHINE COUNSUMER LANKA LTD,ZESTA,ZESTA/390G/TIN/PREMIUM BOPF FREE TIN CADDY,390,GM,390G,TIN,1,,,,,,,,
CROWN GRINDING MILLS,CROWN,CROWN/250/GM/CURRY POWDER,10000,10000,250 GM,PLPCH,1,,,,,,,,
CROWN GRINDING MILLS,CROWN,CROWN/250/GM/CHILLI POWDER,10000,10000,250 GM,PLPCH,1,,,,,,,,
MALIBAN BISCUIT MANUFACTORIES,MALIBAN REAL CHOCOLATE CREAM,MALIBAN/315/GM/PLPCH/REAL CHOCOLATE CREAM BISCUIT HANDY PACK,10000,10000,315,PLPCH,1,,,,,,,,
SUNIL INDUSTRIES,GOVIYA,GOVIYA \400\G\EWRPK \WASHING SOAP SAVE R.S 40,400,GM,400G,EWRPK,1,,,,,,,,
ROYAL DAIRY LANKA (PVT) LTD,ROYAL,ROYAL\80\ML\PL CUP\JELLY YOGHURT,80,ML,80ML,PL CUP,1,,,,,,,,
HEMAS MARKETING,DIVA FRESH,DIVA/FRESH/3 IN 1/GARDENIA & ROSE/1000 KG/SAVE RS.50/=/PLPCH,10000,10000,1000 GM,PLPCH,1,,,,,,,,
JAT HOLDINGS,JAT,JAT/5/L/TIN/WOOD COATING SOLUTIONS,10000,10000,5 L,TIN,1,,,,,,,,
CEYLON BISCUITS LIMITED,WILLIAMS TRENDY WAFERS VANILLA,WILLIAMS TRENDY/72/GM/PLPCH/WAFERS VANILLA FLAVOURD,10000,10000,72 GM,PLPCH,1,,,,,,,,
DARLEY BUTLER,SUNNY,SUNNY/50/GM/PLPCH/ORANGE AND ROSE FRESH WITH ALOE VERA,10000,10000,50 GM,PLPCH,1,,,,,,,,
DARLEY BUTLER,SUNNY,SUNNY/50/G/EWRPK/NO-1/ORANGE & ROSE FRESH  WITH ALOEVERA,50,GM,50G,EWRPK,1,,,,,,,,
NESTLE LANKA,MAGGI,MAGGI/75/G/NO-1/EWRPK/ PAPARE BLAST,75,GM,75G,EWRPK,1,,,,,,,,
NESTLE LANKA,MAGGI,MAGGI/75/GM/PLPCH/PAPARE BLAST,75,GM,75GM,PLPCH,1,,,,,,,,
NARAH STATIONERS,TEN,TEN/80/PGS/BOOK/MY NOTES A6,10000,10000,80 PGS,BOOK,1,,,,,,,,
GAMI RASA FOOD PRODUCTS,GAMI RAHASA,GAMI RAHASA POLOS SOYA MEAT 50GM,50,GM,50GM,PLPCH,1,,,,,,,,
GAMAGE PRODUCTS,GAMAGE,GAMAGE TURMERIC POWDER 25GM,25,GM,25GM,PLPCH,1,,,,,,,,
UNILEVER SRI LANKA LTD,PEARS BABY,PEARS BABY PURE & GENTLE BABY SOAP WITH OLIVE OIL & MOISTURE CREAM 90GM,90,GM,90GM,CDBOX,0,PEARS BABY PURE&GENTLE BABY SOAP WITH OLIVE.&MOISTURE CREAM 90 GM CDBOX,UNILEVER SRI LANKA LTD,PEARS BABY,CDBOX,90,GM,90.00 GM,0.89
DUMINDU INDUSTRIES AND PRINTERS PVT LTD,WRITE,WRITE CR/40 PAGES/1NO,10000,10000,40 PAGES,1NO,1,,,,,,,,
