MANUFACTURE,BRAND,ITEMDESC,QTY,UNIT,PACKSIZE,PACKTYPE,MATCHED,MATCH_ITEMDESC,MATCH_COMPANY,MATCH_BRAND,MATCH_PACKAGING,MATCH_QTY,MATCH_UNIT,MATCH_PACKSIZE,FUZZY_SCORE
GREEN LIGHT BAKE HOUSE,GREEN LIGHT,GREEN LIGHT/220/GM/CDBOX/BUTTER CAKE,220,GM,220GM,CDBOX,1,,,,,,,,
GREEN LIGHT BAKE HOUSE,GREEN LIGHT,GREEN LIGHT/220/GM/CDBOX/FRUIT CAKE,220,GM,220GM,CDBOX,1,,,,,,,,
NESTLE LANKA,MAGGI PAPARE,MAGGI/75/GM/PLPCH/MAGGI PAPARE BLAST INSTANT NOODLES,75,GM,75GM,PLPCH,1,,,,,,,,
THE COLOMBO ICE COMPANY (PVT)LTD,ELEPHANT HOUSE,ELEPHANT HOUSE TAMARIND & HONEY 60ML,60,ML,60ML,PLPCH,1,,,,,,,,
THE COLOMBO ICE COMPANY (PVT)LTD,ELEPHANT HOUSE,ELEPHANT HOUSE TAMARIND & HONEY POPSICLE 60ML,60,ML,60ML,PLPCH,1,,,,,,,,
SUNSHINE COUNSUMER LANKA LTD,X-TRA,X-TRA/1/NO/PLPCH/FRESH STRAWBERRY CENTER FILLED BUBBLE GUM,10000,10000,1 NO,PLPCH,1,,,,,,,,
MALIBAN MILK PRODUCT (PVT) LTD,MALIBAN,MALIBAN/200/GM/CD BOX/FULL CREAM POWDER SAVE RS 30,200,GM,200GM,CDBOX,0,MALIBAN KIRI FULL CREAM MILK POWDER 200 GM CDBOX + SAVE RS 30,MALIBAN MILK PRODUCT (PVT) LTD,MALIBAN,CDBOX,200,GM,200.00 GM,0.65
MALIBAN MILK PRODUCT (PVT) LTD,MALIBAN,MALIBAN/200/GM/CDBOX/FULL CREAM MILK POWDER + SAVE RS.20/,10000,10000,200 GM,CDBOX,1,,,,,,,,
KEELLS FOOD PRODUCTS LTD,KREST,KEELLS KREST/270/GM/CDBOX/FISH CUTLET,10000,10000,270 GM,CDBOX,1,,,,,,,,
NATURE'S BEAUTY CREATIONS LTD,PANDA BABY,PANDA BABY HERBAL COLOGNE NEEM&TURMERIC/100/ML/CD BOX,100,ML,100ML,CD BOX,1,,,,,,,,
GREEN LANKA COSMETICS CO.,SUDUMAL,SUDUMAL/160/G/EWRPK/DETERGENT BAR YELLOW,160,GM,160G,EWRPK,1,,,,,,,,
GREEN LANKA COSMETICS CO.,SUDUMAL,SUDUMAL/160/G/EWRPK/DETERGENT BAR ROSE,160,GM,160G,EWRPK,1,,,,,,,,
USWATTE GOLDEN BISCUITS (PVT)LTD,USWATTE,USWATTE KRISPIES VANILLA FLAVORED WAFERS 200GM,200,GM,200GM,PLPCH,1,,,,,,,,
FLASH DETERGENT (PVT) LTD,FLASH,FLASH/600/ML/PB0T/TOILET BOWL CLEANER,600,ML,600ML,PBOT,1,,,,,,,,
FLASH DETERGENT (PVT) LTD,FLASH,FLASH/1000/ML/PBOT/FLORAL DISINFECTANT FLOOR CLEANER,1000,ML,1000ML,PBOT,1,,,,,,,,
MANCHANAYAKA AGRI FOOD (PVT) LTD,COLO COCONUT MILK POWDER,COLO/25/G/PLPSH/COCONUT MILK POWDER,25,GM,25G,PLPSH,1,,,,,,,,
WIJAYA PRODUCTS (PVT) LTD,WIJAYA,WIJAYA/20/G/PLPSH/PURE CEYLON TEA,20,GM,20G,PLPSH,1,,,,,,,,
RECKITT BENCKISER (LANKA) LTD,DETTOL,DETTOL COOL UP TO ANTIBACTERIAL COOLING SENSATION /1NO/EWPRK/70G BUY 4 GET 1 FREE HARPIC POWER PLUS 10X 200ML,1,NO,1NO,EWPRK,1,,,,,,,,
HEMAS MARKETING,VELVET,VELVET/70/GM/EWRPK/CUTIE ROSE & DRAGON FRUIT SOAP/SAVE RS 40,70,GM,70GM,EWRPK,0,VELVET CUTIE ROSE & DRAGON FRUIT 70 GM EWRPK,HEMAS MARKETING,VELVET,EWRPK,70,GM,70.00 GM,0.63
HEMAS MARKETING,VELVET,VELVET/70/GM/EWRPK/NATURALS COCONUT MILK & SHEA BUTTER SOAP/SAVE RS 40,70,GM,70GM,EWRPK,0,VELVET NATURALS COCONUT MILK & SHEA BUTTER SOAP 70 GM EWRPK,HEMAS MARKETING,VELVET,EWRPK,70,GM,70.00 GM,0.74
JEEWAKA FOOD (PVT) LTD,JEEWAKA,JEEWAKA/50/GM/PLPCH/FISH FLAVOUR SOYA MEAT,50,GM,50GM,PLPCH,1,,,,,,,,
HEMAS MARKETING,VELVET,VELVET/70/GM/EWRPK/NATURALS AVOCADO & ARGAN OIL SOAP/SAVE RS 40,70,GM,70GM,EWRPK,0,VELVET NATURALS AVOCADO & ARGAN OIL SOAP 70 GM EWRPK,HEMAS MARKETING,VELVET,EWRPK,70,GM,70.00 GM,0.71
JEEWAKA FOOD (PVT) LTD,JEEWAKA,JEEWAKA/50/GM/PLPCH/CUTTLEFISH FLAVOUR SOYA MEAT,50,GM,50GM,PLPCH,1,,,,,,,,
NESTLE LANKA,MAGGI,MAGGI/75 GM/PAPARE BLAST/PLPCH,10000,10000,75 GM,PLPCH,1,,,,,,,,
TRADEX INDUSTRIAL PARK,OMIL,OMIL / KOHOMBA / 100GM / WITH COCONUT & NEEM OIL / CDBOX,100,GM,100GM,CDBOX,1,,,,,,,,
UDARATA TEA STORES,JANATHA,JANATHA TEA 40 GM,10000,10000,40 GM,PLPCH,1,,,,,,,,
SAJA FRUIT CANNERIES,SAJA,SAJA WOODAPPLE DRINK-PET 350 ML,10000,10000,350 ML,PET,1,,,,,,,,
SAJA FRUIT CANNERIES,SAJA,SAJA MANGO-PET 350 ML,10000,10000,350 ML,PET,1,,,,,,,,
MALIBAN BISCUIT MANUFACTORIES,MALIBAN CREAM CRACKER FAMILY PAC,MALIBAN/CREAM CRACKER FAMILY PAC/490/G/PLPCH/SAVE RS 60,10000,10000,490,PLPCH,1,,,,,,,,
WEERASINHA HOLDING (PVT) LTD,WINDAY GORAKA,WINDAY/NATURAL/GORAKA/DRINK/200 ML/RGB,10000,10000,200 ML,GLBOT,1,,,,,,,,
MALIBAN BISCUIT MANUFACTORIES,MALIBAN CREAM CRACKER FAMILY PAC,MALIBAN/CREAM CRACKER FAMILY PAC/490/G/PLPCH/SAVE RS 60,10000,10000,490,PLPCH,1,,,,,,,,
NES,MAGGI,MAGGI /75/GM/PLPCH/PAPARE BLAST NOODLES,75,GM,75GM,PLPCH,1,,,,,,,,
HEMAS MARKETING,BABY CHERAMY,BABY CHERAMY/75×5/GM/CDBOX /ALMOND OIL AND VITAMIN E SOAP +BABY CHERAMY 75 GM SOAP FREE,375,GM,375GM,CDBOX,0,BABY CHERAMY 75 GM*5 (375 GM) CDBOX ALMOND OIL AND VITAMIN E MILK + SAVE RS11.00,HEMAS MARKETING,BABY CHERAMY,CDBOX,375,GM,375.00 GM,0.65
DUMINDU INDUSTRIES AND PRINTERS PVT LTD,WRITE,WRITE / 40 / PGS / 1 NO / CR BOOK,10000,10000,40 PGS,1 NO,1,,,,,,,,
PRINT EXCEL PVT LTD,RATHNA,RATHNA/200/PGS/A4 EXERCISE BOOK,200,PGS,200PGS,10000,1,,,,,,,,
CEYLON BISCUITS LIMITED,MUNCHEE SUPER CREAM CRACKER,MUNCHEE/490/GM/SUPER CREAM CRACKER ENRICHED WITH VITAMINS + PRICE OFF RS 60,10000,10000,490 GM,PL POUCH,1,,,,,,,,
DIMUTHU PRODUCTS,DIMUTHU,DIMUTHU/25/GM/PLPCH/CINNAMON POWDER,25,GM,25GM,PLPCH,0,DIMUTHU TURMERIC POWDER 25 GM,DIMUTHU PRODUCTS,DIMUTHU,PLPCH,25,GM,25.00 GM,0.5
CAVINKARE PRIVATE LIMITED,INDICA,INDICA/21/ML/PLPCH/EASY HAIR COLOUR LIQUID NATURAL BLACK + BUY 2 INDICA EASY GET 1 40ML MEERA CONDITIONER FREE,10000,10000,21 ML,PLPCH,1,,,,,,,,
VINI CONSUMER CARE LANKA PVT LTD,FOGG,FOGG/120/ML/TIN/DELICIOUS FRAGRANT BODY SPRAY FOR WOMEN,10000,10000,120 ML,TIN,1,,,,,,,,
ACE HEALTHCARE PVT LTD,SWABHA CEYLON,SWABHA CEYLON/180/ML/PLBOT/LONG AND STRONG CONDITIONER HIBISCUS JATAMANSI,10000,10000,180 ML,PLBOT,1,,,,,,,,
ACE HEALTHCARE PVT LTD,SWABHA CEYLON,SWABHA CEYLON/80/ML/PLBOT/LONG AND STRONG CONDITIONER HIBISCUS JATAMANSI,10000,10000,80 ML,PLBOT,1,,,,,,,,
UNILEVER SRI LANKA LTD,LIFEBUOY,LIFEBUOY/175/ML/PLBOT/HERBAL SHAMPOO WITH HERBAL EXTRACTS,10000,10000,175 ML,PLBOT,1,,,,,,,,
HEMAS PHARMACEUTICALS (PVT) LTD,SUSTAGEN,SUSTAGEN/400/GM/TIN/CHOCOLATE FLAVORED NUTRITIONAL SUPPLEMENT + FREE LIPTON/40/GM/CDBOX/YELLOW LABEL BLACK TEA,10000,10000,400 GM,TIN,1,,,,,,,,
HEMAS PHARMACEUTICALS (PVT) LTD,SUSTAGEN,SUSTAGEN/400/GM/TIN/VANILLA FLAVORED NUTRITIONAL SUPPLEMENT + FREE LIPTON/40/GM/CDBOX/YELLOW LABEL BLACK TEA,10000,10000,400 GM,TIN,1,,,,,,,,
VINI CONSUMER CARE LANKA PVT LTD,FOGG,FOGG/120/ML/TIN/PARADISE FRAGRANT BODY SPRAY FOR WOMEN,10000,10000,120 ML,TIN,1,,,,,,,,
HEMAS MARKETING,FEMS,FEMS/10 SANAKIN/3X PROTECTION /,10000,10000,10,POCH,1,,,,,,,,
HEMAS MARKETING,FEMS,FEMS/10 NAPKIN/DRYTEX 3X PROTECTION,10000,10000,10 NAPKINS,POCH,1,,,,,,,,
SEWWANDI FOOD FRODUT,SEWWANDI,SEWWANDI/60G/POCH PACK /DADAYAM BATTA,60,GM,60G,POCH,1,,,,,,,,
SEWWANDI FOOD FRODUT,SEWWANDI,SEWWANDI /60G/POCH PACK /DALLO BATTA,60,GM,60G,POCH,1,,,,,,,,
PELWATTE DAIRY INDUSTRIES (PVT) LTD,PELWATTE,PELWATTE/200/GM/PLPCH/FULL CREAM MILK POWDER,10000,10000,200 GM,PLPCH,1,,,,,,,,
MALIBAN BISCUIT MANUFACTORIES,MALIBAN CREAM CRACKER FAMILY PAC,MALIBAN/CREAM CRACKER FAMILY PAC/490/G/PLPCH/SAVE RS 60,10000,10000,490,PLPCH,1,,,,,,,,
MALIBAN BISCUIT MANUFACTORIES,MALIBAN,MALIBAN/490/G/PLPCH/CREAM CRACKER SAVE 60,490,GM,490G,PLPCH,1,,,,,,,,
NESTLE LANKA,MAGGI,MAGGI/75/GM/PLPCH/PAPARE BLAST INSTANT NOODLES,10000,10000,75 GM,PLPCH,1,,,,,,,,
UNILEVER SRI LANKA LTD,LIFEBUOY,LIFEBUOY AYURVEDA CARE/ PANCHARATNA SHAMPOO/ 80ML / FREE LIFEBUOY MILD CARE WITH MILK PROTEIN/ 75GM,80,ML,80ML,PBT,1,,,,,,,,
COCA-COLA BEVERAGES,FANTA ORANGE,FANTA\1500\ML\PBT\ORANGE FLAVOURED\SAVE RS 40,1500,ML,1500ML,PBT,1,,,,,,,,
KITCHI HOLDING LANKA PVT LTD,KITCHI,KITCHI/400/G/PLPSH/INSTANT NOODLES/WITH FREE BIRIANI MIX SPICY PACK 2IN1,400,GM,400G,PLPSH,1,,,,,,,,
B.S.T.TRADERS,ROSETTE,ROSETTE/200/PGS/JAFFNA RULE,200,PGS,200PGS,PGS,1,,,,,,,,
THILOKA ENTERPRISES,SNOLIGHT,SNOLIGHT/100/GM/EWRPK/LEMON PURE LAUNDRY BAR SOAP/THILOKA ENTERPRISES,10000,10000,100 GM,EWRPK,1,,,,,,,,
DREAM LIFE SCIENCE (PVT)LTD,ARYA,ARYA/8 PAD/POCH PACK /EASY NAPKIN,10000,10000,8,POCH,1,,,,,,,,
MAKING HOLDING LANKA PVT LTD,SURE,SURE/250/ML/PBT/NO-1/LIME,250,ML,250ML,PBT,1,,,,,,,,
LION FRUIT PRODUCT (PVT),LION,LION/185/ML/PBT/NO-1/TOMATO SAUCE,185,ML,185ML,PBT,1,,,,,,,,
DINIDU PRODUCTS,DINIDU,DINIDU/50/G/EWRPK/NO-1/CHILLI PIECES,50,GM,50G,EWRPK,1,,,,,,,,
DINIDU PRODUCTS,DINIDU,DINIDU/50/G/EWRPK/NO-1/CHILLI POWDER,50,GM,50G,EWRPK,1,,,,,,,,
CEYLON COLD STORES,ELEPHANT HOUSE VIBE,ELEPHANT HOUSE VIBE /250/ML/CAN/NO-1/GRAPE BURST,250,ML,250ML,CAN,1,,,,,,,,
CEYLON COLD STORES,ELEPHANT HOUSE VIBE,ELEPHANT HOUSE VIBE/250/ML/CAN/NO-1/APPLE BURST,250,ML,250ML,CAN,1,,,,,,,,
CEYLON COLD STORES,ELEPHANT HOUSE VIBE,ELEPHANT HOUSE VIBE /250/ML/CAN/NO-1/GRAPE BURST,250,ML,250ML,CAN,1,,,,,,,,
CEYLON COLD STORES,ELEPHANT HOUSE VIBE,ELEPHANT HOUSE VIBE/250/ML/CAN/NO-1/APPLE BURST,250,ML,250ML,CAN,1,,,,,,,,
GAMUNU PRODUCTS PVT,GAMUNU,GEMUNU/50/G/EWRPK/NO-1/TEA,50,GM,50G,EWRPK,1,,,,,,,,
HEMAS MARKETING,BABY CHERAMY,"BABY CHERAMY/225(75G×3)/GM/CDB/FLORAL EXTRACTS, VITAMIN E & MILK/SAVE RS. 50/=",225,GM,225GM(75G×3),CDB,1,,,,,,,,
LANKA KINGS FOOD (PVT) LTD,KINGS KAL KIRI,KINGS KAL KIRI/250/ML/GBT/CHOCOLATE FLAVOURED,250,ML,250ML,GBT,1,,,,,,,,
COUNTRY STYLE FOODS,FND,FND/55/GM/PLPCH/JUJUBS,55,GM,55GM,PLPCH,1,,,,,,,,
PURE DALE CEYLON (PVT) LTD,PUREDALE,PUREDALE/1000/GM/CDBOX/FULL CREAM MILK POWDER,1000,GM,1000GM,CDBOX,1,,,,,,,,
NARAH COMPUTER FORMS,TEN,TEN/1/NO/DRAWING BOOK WHITE MEDIUM 40 PGS,1,NO,1NO,10000,1,,,,,,,,
NC PAINT,NIL MANEL,NIL MANEL/375ML/GBT/NC THINNER,375,ML,375ML,GBT,1,,,,,,,,
NC PAINT,NIL MANEL,NIL MANEL/180ML/GBT/NC THINNER,180,ML,180ML,GBT,1,,,,,,,,
CEYLON BISCUITS LIMITED,MUNCHEE SUPER CREAM CRACKER,MUNCHEE\490\G\EWRPK \SUPER CREAM CRACKER SAVE R.S 60,490,GM,490G,EWRPK,1,,,,,,,,
MALIBAN BISCUIT MANUFACTORIES,MALIBAN CREAM CRACKER,MALIBAN\490\G\PLPCH \CREAM CRACKER FAMILY PACK SAVE R.S 60,490,GM,490G,PLPCH,1,,,,,,,,
NESTLE LANKA,MAGGI,MAGGI/75/GM/PLPCH/PAPARE BLAST/INSTANT NOODLES,75,MG,75MG,PLPCH,1,,,,,,,,
NESTLE LANKA,MAGGI,MAGGI/75/G/PLUPCH/PAPARE BLAST,75,GM,75G,PLUPCH,1,,,,,,,,
THIAGI ASSOCIATES,MYPAL,MYPAL/40/GM/PBT/BINDER GLUE PEN STIK IT,10000,10000,40 GM,PBT,1,,,,,,,,
ANTLER INDUSTRIES (PVT) LTD,AROMA,BRITOL/AROMA/1000/GM/PLPCH/SHAKTHI/DETERGENT POWDER/FRESH FLORAL,10000,10000,1000 GM,PLPCH,1,,,,,,,,
CEYLON COLD STORES,ELEPHANT HOUSE,ELEPHANT HOUSE/250/ML/CAN/VIBE APPLE BURST,250,ML,250ML,CAN,1,,,,,,,,
TN PRODUCT,KADU MEDAL TEA,KADU MEDA TEA/50/GM/PLPCH/BOPF TEA/ TN PRODUCTS,50,GM,50GM,PLPCH,1,,,,,,,,
NATURE'S BEAUTY CREATIONS LTD,PANDA BABY,PANDA BABY/50/ML/PBT/NELLI AND NEEM SHAMPOO,50,ML,50ML,PBT,1,,,,,,,,
NATURE'S BEAUTY CREATIONS LTD,PANDA BABY,PANDA BABY/50/ML/PBT/HAPPY SMILE BABY COLOGNE,50,ML,50ML,PBT,1,,,,,,,,
UNILEVER SRI LANKA LTD,VASELINE INTENSIVE CARE,VASELINE/400/ML/PBT/DEEP RESTORE +PONDS SUPER LIGHT 25 GM FREE,400,ML,400ML,PBT,1,,,,,,,,
MALIBAN MILK PRODUCT (PVT) LTD,MALIBAN,MALIBAN/200/GM/CDBOX/FULL CREAM MILK POWDER 20 RS SAVE,200,GM,200GM,CDBOX,0,MALIBAN KIRI FULL CREAM MILK POWDER 200 GM CDBOX + SAVE RS 30,MALIBAN MILK PRODUCT (PVT) LTD,MALIBAN,CDBOX,200,GM,200.00 GM,0.66
C.W. MACKIE PLC,HIMALAYA,HIMALAYA/50/GM/CDBOX/REVITALISING NIGHT CREAM,50,GM,50GM,CDBOX,1,,,,,,,,
MALIBAN BISCUIT MANUFACTORIES,MALIBAN LEMON PUFF,MALIBAN /100/GM/LEMON PUFF SUGAR LESS 30%,100,GM,100GM,PLPCH,1,,,,,,,,
NATURE'S BEAUTY CREATIONS LTD,PANDA BABY,PANDA BABY/200/ML/PBT/NELLI AND NEEM SHAMPOO,200,ML,200ML,PBT,1,,,,,,,,
NATURE'S BEAUTY CREATIONS LTD,PANDA BABY,PANDA BABY/50/ML/CDBOX/HERBAL COLOGNE NEEM AND TURMERIC,50,ML,50ML,CDBOX,0,PANDA BABY FLORAL BABY COLOGNE 50 ML CDBOX,NATURE'S BEAUTY CREATIONS LTD,PANDA BABY,CDBOX,50,ML,50.00 ML,0.56
UNILEVER SRI LANKA LTD,FAIR & LOVELY,FAIR AND LOVELY/50/GM/ GLOW AND LOVELY POWDER FINISH CREAM,50,GM,50GM,CDBOX,1,,,,,,,,
NATURE'S BEAUTY CREATIONS LTD,PANDA BABY,PANDA BABY/100/ML/CDBOX/HERBAL COLOGNE NEEM AND TURMERIC,100,ML,100ML,CDBOX,0,PANDA BABY FLORAL BABY COLOGNE 100 ML CDBOX,NATURE'S BEAUTY CREATIONS LTD,PANDA BABY,CDBOX,100,ML,100.00 ML,0.55
MALIBAN BISCUIT MANUFACTORIES,MALIBAN GINGER,MALIBAN/80/GM/PLPCH/GINGER BISCUITS SUGAR LESS 30%,80,GM,80GM,PLPCH,0,MALIBAN INGURU BISCUITS (GINGER BISCUIT) 80 GM,MALIBAN BISCUIT MANUFACTORIES,MALIBAN GINGER,PLPCH,80,GM,80.00 GM,0.52
UNILEVER SRI LANKA LTD,CLOSE UP,CLOSEUP/120/GM/CDBOX/EVER FRESH PEPPERMINT SPLASH 90 RS SAVE,120,GM,120GM,CDBOX,1,,,,,,,,
UNILEVER SRI LANKA LTD,CLOSE UP,CLOSEUP/120/GM/CDBOX/CLOVE +ORANGE 90 RS SAVE,120,GM,120GM,CDBOX,1,,,,,,,,
UNILEVER SRI LANKA LTD,VASELINE INTENSIVE CARE,VASELINE/200/ML/PBT/COCOA GLOW INTENSIVE CARE+ PONDS SUPER LIGHT GEL 25GM FREE,200,ML,200ML,PBT,1,,,,,,,,
UNILEVER SRI LANKA LTD,VASELINE INTENSIVE CARE,VASELINE/200/ML/PBT/DERMA CARE ADVANCED REPAIR BODY LOTION +PONDS SUPER LIGHT GEL 24.5GM FREE,200,ML,200ML,PBT,1,,,,,,,,
MALIBAN BISCUIT MANUFACTORIES,MALIBAN REAL CHOCOLATE CREAM,MALIBAN/100/GM/PLPCH/REAL CHOCOLATE CREAM SUGAR LESS 30%,100,GM,100GM,PLPCH,0,MALIBAN REAL CHOCOLATE CREAM 100 GM,MALIBAN BISCUIT MANUFACTORIES,MALIBAN REAL CHOCOLATE CREAM,PLPCH,100,GM,100.00 GM,0.64
NATURE'S BEAUTY CREATIONS LTD,PANDA BABY,PANDA BABY/100/ML/PBT/HAPPY SMILE BABY COLOGNE,100,ML,100ML,PBT,1,,,,,,,,
NATURE'S BEAUTY CREATIONS LTD,PANDA BABY,PANDA BABY/100/ML/PBT/NELLI AND NEEM SHAMPOO,100,ML,100ML,PBT,1,,,,,,,,
UNILEVER SRI LANKA LTD,FAIR & HANDSOME,FAIR AND LOVELY MENS/50/GM/CDBOX/GLOW AND HANDSOME RAPID ACTION CREAM+AXE TICKET DE0 17 ML FREE,50,GM,50GM,CDBOX,1,,,,,,,,
DECORATIVE TOOLS & BRUSHES (PVT) LTD,E-ZY,E-ZY BRUSH/9/INCH/PLPCH/E-ZY ROLLER FOR USE WUTH EMULSION PAINT.,10000,10000,9'INCH,PLPCH,1,,,,,,,,
CARGILLS FOOD & BEVERAGE LIMITED,KIST SPARKLING APPLE,KIST SPARKLING APPLE FLAVOURED DRINK/250ML/CAN,250,ML,250ML,CAN,1,,,,,,,,
CARGILLS FOOD & BEVERAGE LIMITED,KIST SPARKLING STRAWBERRY,KIST SPARKLING STRAWBERRY FLAVOURED DRINK/250ML/CAN,250,ML,250ML,CAN,1,,,,,,,,
CARGILLS FOOD & BEVERAGE LIMITED,KIST SPARKLING ORANGE,KIST SPARKLING ORANGE FLAVOURED DRINK/250ML/CAN,250,ML,250ML,CAN,1,,,,,,,,
MAYURA COLOR PAINTS LANKA,MULTICO,MULTICO/10/L/BUCKET/ BRILLIANT WHITE WEATHERSHADE FOR EXTERIOR,10000,10000,10 L,BUCKET,1,,,,,,,,
MAYURA COLOR PAINTS LANKA,MULTICO,MULTICO/1/L/BRILLIANT WHITE WEATHERSHADE FOR EXTERIOR,10000,10000,1 L,BUCKET,1,,,,,,,,
MAYURA COLOR PAINTS LANKA,MULTICO,MULTICO/20/L/BUCKET/BRILLIANT WHITE WEATHERSHADE FOR EXTERIOR,10000,10000,20 L,BUCKET,1,,,,,,,,
OZONE COATINGS (PVT) LTD,OZONE,OZONE/4/L/BUCKET/EMULSION/BRILLIANT WHITE/INTERIOR,10000,10000,4 L,BUCKET,1,,,,,,,,
COCA-COLA BEVERAGES,COCA-COLA,COCA -COLA/1500/ML/PBT SAVE AS 40 RS,1500,ML,1500ML,PBT,1,,,,,,,,
COCA-COLA BEVERAGES,FANTA ORANGE,FANTA/1500/ML/PBT/ORANGE FLAVOURED SAVE AS 40 RS,1500,ML,1500ML,PBT,1,,,,,,,,
CROWN SWEETY PRODUCTS PVT LTD,CROWN,CROWN/25/GM/PLPCH/LOLLYPOP,25,ML,25ML,PLPCH,1,,,,,,,,
DESSERT BITES,CHILLER MIXED FRUIT,CHILLER/MIXED FRUIT FLAVORED DRINK/500/ML/PET,500,ML,500ML,PET,1,,,,,,,,
DESSERT BITES,CHILLER MIXED FRUIT,CHILLER/MANGO FLAVOURED DRINK/500/ML/PET,500,ML,500ML,PET,1,,,,,,,,
CRYSTAL ENTERPRISES,WINLAC NC THINNER,WINLAC/1/LTR/PLCAN/ WINLAC AUTO SHINE HIGH GLOSS N.C THINNER,1,LTR,1LTR,PLCAN,1,,,,,,,,
ANTLER INDUSTRIES (PVT) LTD,BRITOL,BRITOL DISHWASHING BAR WITH LIME FRESH 100GM,100,GM,100GM,EWRPK,1,,,,,,,,
SAMANTHA PRODUCTS,SAMANTHA,SAMANTHA PRODUCTS CHILLI PIECES 100 GM,10000,10000,100 GM,PLPCH,1,,,,,,,,
CEYLON AGRO INDUSTRIES,PRIMA,PRIMA TWIST NOODLES 400 GM PLPCH + SAVE RS 30,10000,10000,400 GM,PLPCH,1,,,,,,,,
CEYLON COLD STORES,ELEPHANT HOUSE VI BE,ELEPHANT HOUSE VI BE/ 250ML/ CAN/ APPLE BURST,250,ML,250ML,CAN,1,,,,,,,,
CEYLON COLD STORES,ELEPHANT HOUSE VI BE,ELEPHANT HOUSE VI BE/ 250ML/ CAN/ ORANGE BURST,250,ML,250ML,CAN,1,,,,,,,,
COCA-COLA BEVERAGES,FANTA ORANGE,FANTA ORANGE/1500/ML/PBT/SAVE RS. 40/=,1500,ML,1500ML,PBT,1,,,,,,,,
COCA-COLA BEVERAGES,PORTELLO,PORTELLO/1500/ML/PBT/SAVE RS.40/=,1500,ML,1500ML,PBT,1,,,,,,,,
COCA-COLA BEVERAGES,SPRITE,SPRITE/1500/ML/PBT/SAVE RS. 40/=,1500,ML,1500ML,PBT,1,,,,,,,,
CEYLON GOOD LIFE DISTRIBUTORS (PVT) LTD,OPAN,OPAN/5000/ML/PLCAN/WATER BOTTLE,5000,ML,5000ML,PLCAN,1,,,,,,,,
CEYLON GOOD LIFE DISTRIBUTORS (PVT) LTD,OPAN,OPAN/5000/ML/PLCAN/WATER BOTTLE,5000,ML,5000ML,PLCAN,1,,,,,,,,
SANJEEWA GROUP,THINAYA,THINAYA SOYA MEAT/60G/PLPCH/ROSTERD CHICKEN FLAVOURED,60,GM,60G,PLPCH,1,,,,,,,,
CEYLON COLD STORES,VIBE,VIBE\250\ML\CAN\GRAPE BURST,250,ML,250ML,CAN,1,,,,,,,,
CEYLON COLD STORES,VIBE,VIBE\250\ML\CAN\ORANGE BURST,250,ML,250ML,CAN,1,,,,,,,,
CEYLON COLD STORES,VIBE,VIBE\250\ML\CAN\KIWI BURST,250,ML,250ML,CAN,1,,,,,,,,
CEYLON COLD STORES,VIBE,VIBE\250\ML\CAN\APPLE BURST,250,ML,250ML,CAN,1,,,,,,,,
MALIBAN BISCUIT MANUFACTORIES,MALIBAN,MALIBAN/490/GM/PL POUCH/ CREAM CRACKER FAMILY PACK+SEASONAL OFFER RS 60 OFF,10000,10000,490 GM,PL POUCH,1,,,,,,,,
CEYLON BISCUITS LIMITED,MUNCHEE SUPER CREAM CRACKER,MUNCHEE/490/GM/SUPER CREAM CRACKER ENRICHED WITH VITAMINS + PRICE OFF RS 60,10000,10000,490 GM,PL POUCH,1,,,,,,,,
NESTLE LANKA,MAGGI,MAGGI/75G/PLPCH/PAPARE BLAST INSTANT NOODLES,75,GM,75G,PLPCH,1,,,,,,,,
RECKITT BENCKISER (LANKA) LTD,HARPIC,HARPIC/500ML/PLBOT/POWER PLUS 10X ADVANCED ORIGINAL+FREE DIVA FRESH 200G,500,ML,500ML,PLBOT,0,HARPIC POWER PLUS 10/10 STAIN REMOVAL ORIGINAL 500 ML PLBOT + FREE TOILET BRUSH,RECKITT BENCKISER (LANKA) LTD,HARPIC,PLBOT,500,ML,500.00 ML,0.57
UNILEVER SRI LANKA LTD,LIFEBUOY,LIFEBUOY/80ML/PLBOT/AYURVEDA CARE PANCHARATNA SHAMPOO FREE SOAP BAR,80,ML,80ML,PLBOT,0,LIFEBUOY AYURVEDA CARE PANCHARATNA SHAMPOO 80 ML PLBOT,UNILEVER SRI LANKA LTD,LIFEBUOY,PLBOT,80,ML,80.00 ML,0.73
UNILEVER SRI LANKA LTD,PEARS,PEARS/70G/CDBOX/BEE'S HONEY BABY SOAP,70,GM,70G,CDBOX,1,,,,,,,,
UNILEVER SRI LANKA LTD,PEARS,PEARS/100ML/PLBOT/PURE&GENTLE BABY SHAMPOO FREE CREAM 50ML,100,ML,100ML,PLBOT,1,,,,,,,,
HEMAS MANUFACTURING (PVT) LTD,CLOGARD,CLOGARD/70G/CDBOX/STRONGER TEETH NATURAL SALT,70,GM,70G,CDBOX,1,,,,,,,,
SMART FOOD PRODUCTS,SMART PLUS,SMART PLUS/190ML/GLBOT/CHOCOLATE MILK DRINK,190,ML,190ML,GLBOT,1,,,,,,,,
TURNEY BISCUITS MANUFACTERIES,TURNEY,TURNEY/150/GM/MILK CREAM,10000,10000,150 GM,PLPCH,1,,,,,,,,
