MANUFACTURE,BRAND,ITEMDESC,QTY,UNIT,PACKSIZE,PACKTYPE
ICL BRANDS PRIVATE LIMITED ,COLGATE,COLGATE MAX FRESH COOLING CRYSTALS SPICY FRESH /70 GM+ 11 GM/ FREE 15GM EXTRA/CD BOX,10000,10000,70+11 GM,CD BOX 
NATURE'S BEAUTY CREATIONS LTD,PANDA BABY,PANDA BABY FLORAL COLOGNE/ 100 ML/ CD BOX ,10000,10000,100 ML,CD BOX 
REAL COOL BEVARAGES,REAL COOL PINEAPPLE ,REAL COOL PINEAPPLE/185/ML/PLCUP/ARTIFICIAL DRINK,185,ML,185ML ,PLCUP 
SIDDHALEPA AYURVEDA EXPORTS,KEKULU,"KEKULU/70/GM/CDB/KING COCONUT OIL, LOTHSUMBULU, ALOE VERA/SAVE RS.15/=",70,GM,70GM ,CDB
SIDDHALEPA AYURVEDA EXPORTS,KEKULU,"KEKULU/70/GM/CDB/KING COCONUT OIL, SANDALWOOD, AROODA, JASMINE, KOKUM POTHU/SAVE RS.15/=",70,GM,70GM ,CDB
LELAN MARKETING,SHINE MAX CLOREX,SHINE MAX CLOREX/60/ML/PBT,60,ML,60ML,PBT
AMARA PRODUCTS,AMARA,AMARA/100/ML/PLPCH/CHILLI PIECES,100,GM,100GM ,PLPCH 
CEYLON BISCUITS LIMITED,MUNCHEE CAROL COOKIES,MUNCHEE CAROL COOKIES/85/GM/PLPCH,85,GM,85GM,PLPCH 
ZEENATH FANCY,HP GUCCHI,HP GUCCHI/22/ML/CDB/NATURAL SPRAY ,22,ML,22ML ,CDB
WIDASI PRODUCT ,WIDAS,WIDAS/I45/G/EWRPK/RAJAMUSU SOYA,45,GM,45G,EWRPK 
RAIGAM MARKETING SERVICE,RAIGAM ,RAIGAM/90/G/EWRPK/NO-1/MUTTON FLAVOUR ,90,GM,90G,EWRPK 
HEMAS MARKETING,GOYA,GOYA/70/GM/CDBOX/ROSES/PRETTY PINK,10000,10000,70 GM,CDBOX 
CEYLON BISCUITS LIMITED,MUNCHEE ,MUNCHEE/85/GM/PLPCH/CAROL COOKIES ,10000,10000,85 GM,PLPCH 
NESTLE LANKA,MAGGI COCONUT MILK POWDER,MAGGI/25/GM/PLPCH/REAL COCONUT MILK POWDER ,10000,10000,25 GM,PLPCH 
FOODCO LANK INDUSTRIES ,FOODCO,"FOODCO/250/GM/PLPCH/ICING SUGAR/IDEAL FOR DECORATING, BAKING & CONFECTIONERY ",10000,10000,250 GM,PLPCH 
HEMAS MARKETING,GOYA,GOYA/70/GM/CDBOX/ROSES/RUBY RED,10000,10000,70 GM,CDBOX 
HEMAS MARKETING,DIVA,DIVA/100*2/GM/EWRPK/LEMON/DETERGENT SOAP/SAVE RS 30,10000,10000,100*2 GM,EWRPK 
HEMAS MARKETING,DIVA,DIVA /200/GM/EWRPK/LEMON DIGRGENT SOPE/SAVE 30,10000,10000,200 GM,EWRPK
SAHAN PRODUCTS,SAHAN,SAHAN \1\KG \PLPCH \CHILLI PIECES ,1,KG,1KG,PLPCH 
SAHAN PRODUCTS,SAHAN,SAHAN \1\KG \PLPCH \CURRY POWER ,1,KG,1KG,PLPCH 
ESCHNOW INTERNATIONAL PVT LTD,REAL,REAL/1000/ML/PLBOT/DRINKING WATER ,1000,ML,1000ML,PLBOT
SWADESHI INDUSTRIAL WORKS LTD,KHOMBA,KHOMBA/67/GM/EWRPK/LEMONGRASS FOR A PLAYFUL CITRUSY SENSATION ,67,GM,67GM,EWRPK 
WASK ENTERPRISES,SIYANRO,SIYANRO MEAT CURRY POWDER MIXTURE 50GM,50,GM,50GM,PLPCH
CEYLON BISCUITS LIMITED,CAROL,MUNCHEE/85/GM/CAROL COOKIES/PLPCH ,85,GM,85GM,PLPCH
CEYLON AGRO INDUSTRIES,PRIMA STELLA,PRIMA/74/GM/PLPCH/ STELLA CHICKEN INSTANT NOODLES  (74*GM* 4)PAK FREE STORAGE BOX,74,GM,74GM *4,PLPCH
SIYATHA PRODUCTS,SIYATHA,SIYATHA/1000/GM/PLPCH/TURMERIC POWDER ,1000,GM,1000GM,PLPCH
MIGARA PRODUCTS,SKYLIGHT,SKYLIGHT POWER/650/GM/EWRPK/BAR SOAP,10000,10000,650 GM,EWRPK
HAPPY CEYLON FOODS (PVT) LTD,HAPPY CEYLON,HAPPY CEYLON/500/GM/PLPCH/ROASTED CURRY POWDER,10000,10000,500 GM,PLPCH
HAPPY CEYLON FOODS (PVT) LTD,HAPPY CEYLON,HAPPY CEYLON/1000/GM/PLPCH/CURRY POWDER,10000,10000,1000 GM,PLPCH
HAPPY CEYLON FOODS (PVT) LTD,HAPPY CEYLON,HAPPY CEYLON/1000/GM/PLPCH/CHILLI PIECES,10000,10000,1000 GM,PLPCH
UNILEVER SRI LANKA LTD,AYUSH ,AYUSH/70/GM/CDBOX/EXFOLIATING WELLNESS FOR REFRESHED AND MOISTURIZED SKIN/WITH VENIVEL ALMOND OIL AND COCONUT SHELL POWDER,10000,10000,70 GM,CDBOX
EDINBOROUGH PRODUCTS,EDINBOROUGH,EDINBOROUGH/180/GM/PLBT/MAYONNAISE/VEGETARIAN ,10000,10000,180 GM,PLBT
UNILEVER SRI LANKA LTD,RIN,RIN/200/GM/PLPCH/REFRESH LEMON & ROSE DETERGENT POWDER,200,GM,200GM,PLPCH
LAKRASA MARKETING & DISTRIBUTOR,LAKRASA,LAKRASA/400/GM/PLPCH/SPECIAL NOODLES,400,GM,400GM,PLPCH
NESTLE LANKA,MAGGI ,MAGGI/300/GM/CD BOX/REAL COCONUT MILK POWDER+SAVE RS.75,300,GM,300GM,CD BOX
NESTLE LANKA,NESTOMALT,NESTOMALT/400/GM/CD BOX/MALTED FOOD+FREE MAGGI/75/GM/PLPCH/PAPARE KOTTU STYLE INSTANT NOODLES,400,GM,400GM,CD BOX
AMA FOODS INTERNATIONAL PVT LTD,AMA,AMA/100/GM/PLCUP/GORAKA PASTE,100,GM,100GM,PLCUP
SWADESHI INDUSTRIAL WORKS LTD,KHOMBA BABY,KHOMBA BABY/100/ML/GLBT/HERBAL BABY COLOGNE/SAVE 50,10000,10000,100 ML,CDBOX
SWADESHI INDUSTRIAL WORKS LTD,KHOMBA BABY,KHOMBA BABY/100/ML/ HERBAL BABY COLOGNE /SAVE RS 50,10000,10000,100 ML,CDBOX
CEYLON BISCUITS LIMITED,MUNCHEE ,MUNCHEE/85/G/CAROL COOKIES ,10000,10000,85 G,PLPCH
WEERASINGHE TEA,WST,WST/100/G/PLUPCH/THALAWAKELE,100,GM,100G,PLUPCH
HEMAMALI FARM,AT,AT PRODUCTS/200/ML/PBT/LOW FAT DRINKING YOGHURT,10000,10000,200 ML,PBT
IMPORTED,FOGG,FOGG/120/ML/TIN/DYNAMIC,10000,10000,120 ML,TIN
CEYLON BISCUITS LIMITED,MUNCHEE KALO,MUNCHEE/140/GM/CDBOX/KALO CHOCOLATE CREAM,10000,10000,140 GM,CDBOX 
JA BEAUTY CARE (PVT) LTD,GOLDEN TOUCH,GOLDEN TOUCH/60/GM/CDBOX/ELITE FACE GOLD ANTI WAINKLE CREAM SHEA BUTTER/RETINOLE/COCONUT OIL FOR ALL SKIN TYPE,10000,10000,60 GM,CDBOX 
JA BEAUTY CARE (PVT) LTD,GOLDEN TOUCH,GOLDEN TOUCH/60/GM/CDBOX/ELITE FACE GOLD DAY CREAM TEA TREE/BLUEBERRY/SPF 40 FOR OILY SKIN ,10000,10000,60 GM,CDBOX 
PT.UNZA VITALIS,ENCHANTEUR,"ENCHANTEUR/100/ML/PLBOT/CHARMING VISIBLY RADIANT SKIN VITAMIN A,C,E & NIACINAMIDE",10000,10000,100 ML,PLBOT 
HEMAS PHARMACEUTICALS (PVT) LTD,ENFAMAMA,ENFAMAMA A+/400/GM/TIN/NUTRITIONAL SUPPLEMENT CHOCOLATE + FREE PHOTO FRAME,10000,10000,400 GM,TIN
IMPORTED,FOGG,FOGG/120/ML/TIN/ABSOLUTE,10000,10000,120 ML,TIN
SMITHKLINE BEECHAM PVT LTD,SENSODYNE,SENSODYNE/SENSITIVE SOFT ADULT TOOTHBRUSH SAVE RS.95/-,10000,10000,10000,10000
EMAMI LANKA (PVT) LTD,EMAMI,EMAMI/100/ML/PLBOT/7 OILS IN ONE DOUBLE CONDITIONING SHAMPOO WITH NOURISHING 7 OILS PURIFYING ALOE VERA,10000,10000,100 ML,PLBOT 
HEMAS PHARMACEUTICALS (PVT) LTD,ENFAMAMA,ENFAMAMA A+/400/GM/TIN/NUTRITIONAL SUPPLEMENT VANILLA SAVE RS.500/-,10000,10000,400 GM,TIN
EMAMI INDO LANKA PVT LTD,EMAMI,EMAMI/30/ML/CDBOX/GOLD TURMERIC SKIN CREAM WITH 24K GOLD,10000,10000,30 ML,CDBOX 
NESTLE LANKA,NESTOMALT,NESTOMALT/400/GM/CDBOX/1ST CUP MALTED FOOD + FREE MAGGI/75/GM/PLPCH/PAPARE KOTTU,10000,10000,400 GM,CDBOX 
PT.UNZA VITALIS,ENCHANTEUR,"ENCHANTEUR/100/ML/PLBOT/ROMANTIC VISIBLY RADIANT SKIN VITAMIN A,C,E & NIACINAMIDE",10000,10000,100 ML,PLBOT 
JA BEAUTY CARE (PVT) LTD,GOLDEN TOUCH,GOLDEN TOUCH/60/GM/CDBOX/ELITE FACE GOLD NIGHT CREAM VIT C & ORANGE FOR OILY SKIN,10000,10000,60 GM,CDBOX 
ACE HEALTHCARE PVT LTD,SWABHA CEYLON,SWABHA CEYLON/180/ML/PLBOT/LONG AND STRONG CONDITIONER HIBISCUS JATAMANSI,10000,10000,180 ML,PLBOT 
HEMAS PHARMACEUTICALS (PVT) LTD,ENFAGROW A + 4,ENFAGROW A+/400/GM/TIN/STAGE 4 FOR 3 YEARS & ABOVE CHILDREN NUTRITIONAL SUPPLEMENT VANILLA SAVE RS.300/-,10000,10000,400 GM,TIN
ACE HEALTHCARE PVT LTD,SWABHA CEYLON,SWABHA CEYLON/80/ML/PLBOT/LONG AND STRONG CONDITIONER WITH HIBISCUS JATAMANSI,10000,10000,80 ML,PLBOT 
EMAMI LANKA (PVT) LTD,EMAMI,EMAMI/100/ML/PLBOT/7 OILS IN ONE DOUBLE CONDITIONING SHAMPOO WITH NOURISHING 7 OILS ELIXIR BLACKSEED ,10000,10000,100 ML,PLBOT 
NISIWARA ENTERPRISES,NE,NE/1.5/PAINT BRUSH ,10000,10000,1.5,10000
SOORIYA GRINDING MILLS,SOORIYA ,SOORIYA/50/GM/CURRY POWDER ,50,GM,50GM,PLPCH
SACHINI ENTERPRISES,MILANO,MILANO/190/ML/PLCUP/MANGO DRINK,190,ML,190ML,PLCUP
SACHINI ENTERPRISES,MILANO,MILANO/190/ML/PLCUP/AMLA DRINK,190,ML,190ML,PLCUP
NESTLE LANKA,NESTOMALT,NESTOMALT/400G/CDBOX/1 ST CUP MALTED FOOD FREE MAGGI PAPARE KOTTU 75G,400,GM,400G,CDBOX 
DELMAR LANKA PVT LTD,CALIN,CALIN/70G/CDBOX/KOHOMBA WITH NEEM AND TURMERIC EXTRACT SOAP ,70,GM,70G ,CDBOX 
UNILEVER SRI LANKA LTD,SUNSILK,"SUNSILK /80ML/PLPCH/DAMAGE RESTORE WITH KING COCONUT OIL,KARATIN PROTEIN, VITAMIN C ACTIV-MIX SHAMPOO FREE LIFEBUOY MILD CARE WITH MILK PROTEIN 75G ",80,ML,80ML,PLBOT 
ANUSHA PRODUCTS,ANUSHA,ANUSHA/100G/EWPRK/CURRY POWDER ,100,GM,100G,EWPRK 
UNILEVER SRI LANKA LTD,SUNSILK,SUNSILK/80ML/PLBOT/NOURISHING SOFT & SMOOTH ACTIV-MIX SHAMPOO FREE LUX BRIGHT GLOW VITAMIN C + E 70G ,80,ML,80ML ,PLBOT 
ICL MARKETING,BLACK KNIGHT,BLACK KNIGHT/18.5ML/PLBOT/FRESH EXTREME POCKET PERFUME ,18.5,ML,18.5ML,PLBOT 
ICL MARKETING,BLACK KNIGHT,BLACK KNIGHT/18.5ML/PLBOT/DARK KNIGHT POCKET PERFUME ,18.5,ML,18.5ML,PLBOT 
HEMAS MARKETING,GOYA,GOYA ROSES /RUBY RED /70G/ CDBOX ,70,GM,70G,CDBOX 
HEMAS MARKETING,GOYA,GOYA /ROSES /PRETTY PINK /70G/CDBOX ,70,GM,70G,CDBOX 
SWADESHI INDUSTRIAL WORKS LTD,KHOMBA BABY,SWADESHI/ KHOMBA BABY/ FLORAL /- KOHOMBA/ WITH /RATHMAL/ AND /ROSE WATER /BABY COLONGE/ 30 /ML /CDBOX,10000,10000,30 ML,CDBOX
KUMUDU PRODUCT,KUMUDU ,KUMUDU/100/GM/EWRPK/ORIGINAL/FRESH FLORAL/LAUNDRY SOAP ,10000,10000,100 GM,EWRPK 
NESTLE LANKA,MAGGI COCONUT MILK POWDER,MAGGI/25/GM/PLPCH/REAL COCONUT MILK POWDER ,10000,10000,25 GM,PLPCH 
UNILEVER SRI LANKA LTD,SUNSILK,"SUNSILK/80/ML/PLBOT/NOURISHING SOFT & SMOOTH SHAMPOO/WITH EGG PROTEIN, ALMOND OIL & VITAMIN C/ACTIVE-MIX/FREE LUX 70GM SOAP",10000,10000,80 ML,PLBOT 
NESTLE LANKA,MAGGI COCONUT MILK POWDER,MAGGI/25/GM/PLPCH/REAL COCONUT MILK POWDER ,25,GM,25GM,PLPCH 
DEEN SPICE PRODUCTS (PVT) LTD,DEEN,DEEN/25/GM/PLPCH/TURMERIC POWDER ,25,GM,25GM,PLPCH 
UNILEVER SRI LANKA LTD,SURF EXCEL,SURF EXCEL/1000/KGM/PLPCH/WITH PREMIUM FRAGRANCE OF COMFORT DETERGENT POWDER/SAVE RS 210,1000,KGM,1000KGM,PLPCH 
BRILLON CONSUMER PRODUCTS ,MR MUSCLE,MR MUSCLE/500/ML/PLBOT/FLOOR CLEANER FLORAL PERFECTION ,500,ML,500ML,PLBOT 
UNILEVER SRI LANKA LTD,SURF EXCEL,SURF EXCEL/500/GM/PLPCH/WITH PREMIUM FRAGRANCE OF COMFORT DETERGENT POWDER/SAVE RS 100,500,GM,500GM,PLPCH 
UNILEVER SRI LANKA LTD,SUNSILK,"SUNSILK/80/ML/PLBOT /NOURISHING SOFT AND SMOOTH SHAMPOO WITH EGG PROTEIN,ALMOND OIL AND VITAMIN C WITH ACTIV-MIX FREE LUX 70 GM BRIGHT GLOW WITH VITAMIN C + E SOAP",80,ML,80ML,PLBOT 
CARGILLS CONFECTIONERIES ( PRIVATE )LIMITED ,KIST,KIST/50/GM/PLPCH /MARIE,50,GM,50GM,PLPCH 
PELWATTE DAIRY INDUSTRIES (PVT) LTD,PELWATTE,PELWATTE/400/G/PLPCH/FULL CREAM MILK POWDER /50/-SAVE,400,GM,400G,PLPCH 
LAK JAYA INDUSTRIES (PVT) LTD,LIDOL,LIDO/1000/GM/SUPER CLEAN FRESH/PLCH,1000,GM,1000GM,PLCH
LEOAN MILK FOODS (PVT) LTD,LEOAN CHOCOLATE,LEOAN CHOCOLATE/180/ML/RGB/MILK FLAVOURED ,180,ML,180ML ,RGB
LEOAN MILK FOODS (PVT) LTD,LEOAN VANILLA,LEOAN VANILLA/180/ML/RGB/MILK FLAVOURED ,180,ML,180ML ,RGB
BELLOSE LANKA LTD,BELLOSE,BELLOSE/PERFECT STRAIGHT/KERATIN/CONDITIONER/210 ML/PLBOT,10000,10000,210 ML,PLBOT
WIKILIYA TEA ESTATE ( PRIVATE) LIMITED ,DARTRY VALLEY ,DARTRY VALLEY/500GM/PLPCH/FRESH /BOPF/ PURE CEYLON TEA ,500,GM,500GM,PLPCH 
SACHIE BISCUITS (PVT) LTD,SACHIE MILK BISK,SACHIE/60GM/PLPCH/MILK BISK,60,GM,60GM,PLPCH 
SWADESHI INDUSTRIAL WORKS LTD,KHOMBA,KHOMBA/67/G/EWRPK/NO-1/LEMONGRASS ,67,GM,67G,EWRPK 
PURE BLEND (PVT) LTD,PURE BLEND,PURE BLEND/50/G/PLUPCH/PEPPER POWDER,50,GM,50G,PLUPCH
DELMAR LANKA PVT LTD,CALIN ,CALIN KOHOMBA SOAP WITH NEEM AND TURMERIC EXTRACT 70GM,70,GM,70GM,CDBOX
SWADESHI INDUSTRIAL WORKS LTD,KHOMBA,KHOMBA/67/GM/PLPCH/LEMONGRASS,10000,10000,67 GM,PLPCH 
UNILEVER SRI LANKA LTD,VASELINE ,VASELINE /100ML/PET/NATURAL ALOE EXTACT,100,ML,100ML,PET
HEMAS MARKETING,DIVA,DIVA /100G*2/LEMON /SAVE 30/-,10000,10000,110*2,POCH 
UNILEVER SRI LANKA LTD,WONDERLIGHT ,WONDERLIGHT /110G*2/POCH /KOHOMBA,110,GM,110G*2,POCH 
UNILEVER SRI LANKA LTD,WONDERLIGHT ,WONDERLIGHT /110G*2/POCH /JASMINE ,110,GM,110G*2,POCH 
CEYLON AGRO INDUSTRIES,KOTTUMER,KOTTU MEE/80G*2/POCH PACK /NAI MIRIS FVOUR/SAVE 20/-,80,GM,80G*3,POCH 
TELA YOGHURT,TELA ,TELA/80/ML/PLCUP/JELLY YOGHURT,80,ML,80ML,PLCUP
UNILEVER SRI LANKA LTD,RIN,RIN/200/GM/PLPCH/REFRESH LEMON & ROSE DETERGENT POWDER,200,GM,200GM,PLPCH
NESTLE LANKA,NESTOMALT,NESTOMALT/400/GM/CD BOX/MALTED FOOD+FREE MAGGI/75/GM/PLPCH/PAPARE KOTTU STYLE INSTANT NOODLES,400,GM,400GM,CD BOX
MALIBAN BISCUIT MANUFACTORIES,MALIBAN,MALIBAN/190/GM/PLPCH/CREAM CRACKER +FREE ASTRA/18/GM/PLPCH/MULTI-PURPOSE FAT SPREAD,190,GM,190GM,PLPCH
IMPORTED,VATIKA,VATIKA TURISH BLACK SEED / 400ML /STRENGTHEN & SHINE SHAMPOO ,400,ML,400ML,PBT
IMPORTED,KEUNE,KEUN / CARE KERATIN SMOOTH SHAMPOO/ SHAMPOOING / 300ML /PBT,300,ML,300ML,PBT
IMPORTED,KEUNE,KEUNE CARE/ VITAL NUTRITION SHAMPOO/ 300ML / SHAMPOOING/ PBT,300,ML,300ML,PBT
IMPORTED,KEUNE,KEUNE CARE/ KERATIN SMOOTH CONDITIONER/ 250ML/ APRES-SHAMPOOING/ PBT,250,ML,250ML ,PBT
UNILEVER SRI LANKA LTD,AYUSH,AYUSH FACE CREAM/ 25GM/ ANTI MARK & OIL CONTROL/ CDBOX ,25,GM,25GM ,CDBOX 
GROUP OF CEYLON FREGRANCE,PB PINK BLUE ,PB PINK BLUE / 100ML/ COLOGNE SPRAY/ CDBOX ,100,ML,100ML ,CDBOX 
IMPORTED,KEUNE,KEUNE CARE/VITAL NUTRITION/ 250ML CONDITIONER APRES-SHAMPOOING/ PBT,250,ML,250ML ,PBT
CEYLON FRAGRANCE ,PB PINK BLUE ,PB PINK BLUE/ MY LIFE EAU DE PERFUME/ 20ML / CDBOX ,20,ML,20ML,CDBOX 
GROUP OF CEYLON FREGRANCE,PB PINK BLUE ,PB PINK BLUE/ BLUE AURA / 100ML/ CDBOX ,100,ML,100ML ,CDBOX 
IMPORTED,KEUNE,KEUNE CARE/ COLOR BRILLIANZ / SHAMPOO/ 300ML / SHAMPOOING/ PBT,300,ML,300ML,PBT
TD AYURVEDA PVT LTD ,TD AYURVEDA ,TD AYURVEDA / CLEAR HAIR HEBAL SHAMPOO/ 100ML / PBT,100,ML,100ML ,PBT
CORAL WATER (PVT) LTD,CORAL,CORAL/7000ML/PLBOT/BOTTLED DRINKING WATER,7000,ML,7000ML,PLBOT
CHIRAN INDUSTRIES (PVT)LTD,NANO,NANO/1500/ML/PLBT/BOTTLED DRINKING WATER,1500,ML,1500ML,PLBT
CHIRAN INDUSTRIES (PVT)LTD,NANO,NANO/1000/ML/PLBT/BOTTLED DRINKING WATER,1000,ML,1000ML,PLBT
THE SWADESHI INDUSTRIAL WORKS PLC,KHOMBA BABY ,KHOMBA BABY RATHMAL BABY CREAM/50 ML,10000,10000,50 ML,PLBOT 
CAVINKARE PRIVATE LIMITED,KARTHIKA,KARTHIKA SHAMPOO/40ML/CURRY LEAVES &BRINGARAJ/PLBOT ,10000,10000,40 ML,PLBOT 
CAVINKARE PRIVATE LIMITED,SPINZ,SPINZ BB BRIGHTENING &BEAUTY FAIRNESS CREAM 4 GM/PLPH ,10000,10000,4 GM,PLPH
CAVINKARE PRIVATE LIMITED,KARTHIKA,KARTHIKA SHAMPOO/80 ML/CURRY LEAVES &BRINGARAJ/PLBOT ,10000,10000,80 ML,PLBOT
UNILEVER SRI LANKA LTD,LUX,LUX SOFT GLOW JASMINE &VITAMIN E 7 BEAUTY INGREDIENTS/ 70Ã—3 /EWRPK/SAVE 25,10000,10000,70 GM Ã—3,EWRPK 
VINI COSMETICS PVT LTD,WHITE TONE,WHITETONE SOFT& SMOOTH/15 GM/CD BOX ,10000,10000,15 GM,CD BOX 
HEMAS MANUFACTURING PVT LTD ,BABY CHERAMY,BABY CHERAMY GENTLY CLEANS & SOFTNES HAIR/200 ML/ FREE 70 GM ALMOND BABY SOAP/PLBOT ,10000,10000,200 ML,PLBOT 
CAVINKARE PRIVATE LIMITED,KARTHIKA,KARTHIKA SHAMPOO/180 ML/SHIKAKAI &HIBISCUS/PLBOT,10000,10000,180 ML,PLBOT
GODREJ HOUSEHOLD PRODUCTS (PVT) LTD,CINTHOL,GODREJ CINTHOL LIME REFRESHING DEO SOAP/100 GM/BUY TWO SAVE 70/CD BOX,10000,10000,100 GM,CD BOX 
CAVINKARE PRIVATE LIMITED,KARTHIKA,KARTHIKA SHAMPOO/40 ML/AMLA HENNA&ALOE VERA/PLBOT ,10000,10000,40 ML,PLBOT 
UNILEVER SRI LANKA LTD,AYUSH ,LEVER AYUSH TOTAL ORAL CARE /70 GM/ CD BOX ,10000,10000,70 GM,CD BOX 
CAVINKARE PRIVATE LIMITED,KARTHIKA,KARTHIKA SHAMPOO/80 ML/AMLA HENNA & ALOVERA/PLBOT,10000,10000,80 ML,PLBOT
VINI COSMETICS PVT LTD,WHITE TONE,WHITETONE SOFT & SMOOTH/25 GM/ CD BOX ,10000,10000,25 GM,CD BOX 
UNILEVER LIPTON CEYLON,PONDS,PONDS AGE MIRACLE CREAM 12 GM / CD BOX ,10000,10000,12 GM,CD BOX 
ICL BRANDS PVT LTD,SAFE + GUARD,SAFE+ GUARD MINT BREEZE 70 GM +SAFE GUARD 70 GM / SAVE 30/EWRPK ,10000,10000,70 GM,EWRPK 
CAVINKARE PRIVATE LIMITED,SPINZ,SPINZ BB BRIGHTENING &BEAUTY FAIRNESS CREAM 29 GM,10000,10000,29 GM,CD BOX 
CAVINKARE PRIVATE LIMITED,KARTHIKA,KARTHIKA SHAMPOO/180 ML/CURRY LEAVES &BRINGARAJ/PLBOT ,10000,10000,180 ML,PLBOT
UNILEVER LIPTON CEYLON,PONDS,PONDS AGE MIRACLE CREAM 35 GM/CD BOX,10000,10000,35 GM,CD BOX 
CAVINKARE PRIVATE LIMITED,KARTHIKA,KARTHIKA SHAMPOO/180 ML/AMLA HENNA&ALOVERA/PLBOT ,10000,10000,180 ML,PLBOT
RECKITT BENCKISER (LANKA) LTD,DETTOL,DETTOL PROSKIN/100 GM/BUY 2 SAVE 60/EWRPK ,10000,10000,100 GM,EWRPK 
CAVINKARE PRIVATE LIMITED,KARTHIKA,KARTHIKA SHAMPOO/40 ML/SHIKAKAI&HIBISCUS/PLBOT ,10000,10000,40 ML,PLBOT 
DARLEY BUTLER,COW & GATE STEP_UP 3,COW &GATE 3 /200 GM/1-3 YEARS/BUY 2 GET 1 FREE ,10000,10000,200 GM,CD BOX
UNILEVER LANKA CONSUMER LIMITED ,SIGNAL,SINGNAL DEEP CLEAN DOUBLE PACK /SIGNAL ADULT TOOTH BRUSH/ SAVE 40,10000,10000,2 BRUSHES ,PLPH 
UNILEVER SRI LANKA LTD,SUNSILK,SUN SILK NOURISHING SOFT&SMOOTH/80 ML/FREE LUX BRIGHT  GLOW 75 GM SOAP ,10000,10000,80 ML,PLBOT
CAVINKARE PRIVATE LIMITED,KARTHIKA,KARTHIKA SHAMPOO/80 ML/SHIKAKAI &HIBISCUS/PLBOT ,10000,10000,80 ML,PLBOT 
NATURE'S BEAUTY CREATIONS LTD,PANDA BABY,PANDA BABY FLORAL COLOGNE/ 100 ML/ CD BOX ,10000,10000,100 ML,CD BOX 
MAAM BISCUITS LANKA (PVT) LTD,MALIBAN SNACKERS SAVOURY,MALIBAN SNACKERS TOMATO FLAVOUR/25/GM,25,GM,25GM,PLPCH
KANDURATA TEA PRODUCTS (PVT) LTD,KANDURATA,KANDURATA/1000/GM/CHILLI POWER/PLPCH,1000,GM,1000GM,PLPCH 
SMITHKLINE BEECHAM PVT LTD,SENSODYNE,SENSODYNE SENSITIVE/SOFT/01 NO,10000,10000,01 NO,01 NO
HEMAS MARKETING,FEMS,FEMS/10/NO/PLPCH/3X PROTECTION COTTON FEEL WINGS,10,NO,10NO,PLPCH 
CEYLON BISCUITS LIMITED,MUNCHEE ,MUNCHEE/85/GM/PLPCH/CAROL COOKIES,85,GM,85GM,PLPCH 
CHAMARA INDUSTRIES,CHAMARA,CHAMARA/80/PAGE/A7 NOTE BOOK.,80,PAGE,80PAGE,PPP
ARALIYA BOOK INDUSTRIES (PVT) LTD,ARALIYA,ARALIYA/40/PAGE/A7 POCKET NOTE BOOK,40,PAGE,40PAGE ,PPP
FRESHVILE SWEETS PVT LTD.,DELZIAS,DELZIAS/8/GM/FOOTBALL BUBBLE GUM/PLBOT,8,GM,8GM,PLBOT 
NUTRI FOOD SOLUTIONS ,NUTRI,NUTRI/60/ML/PLPCH/ICE POP FRUITY FRUIT FLOORED POPSICLE ,60,ML,60ML,PLPCH 
NUTRI FOOD SOLUTIONS ,NUTRI,NUTRI/60/ML/PLPCH/ICE CREAM POP FALUDA MAGIC FALUDA WATER ICE COATED VANILLA ICE CREAM ,60,ML,60ML,PLPCH 
NESTLE LANKA,MAGGI COCONUT MILK POWDER,MAGGI/25/GM/PLPCH/REAL COCONUT MILK POWDER ,10000,10000,25 GM,PLPCH 
ICL MARKETING,BLACK KNIGHT,BLACK KNIGHT/18.5/ML/PBT/DARK KNIGHT POCKET PERFUME ,18.5,ML,18.5ML ,PBT
ICL MARKETING,BLACK KNIGHT,BLACK KNIGHT/18.5/ML/PBT/FRESH EXTREME POCKET PERFUME ,18.5,ML,18.5ML ,PBT
RECKITT BENCKISER (LANKA) LTD,LYSOL,LYSOL/500/ML/PBT/CITRUS TRIPLE GEM ACTION/FREE/HARPIC/200/ML/PBT/POWER PLUS 10X ADVANCED 5 MINUTES ACTION ,500,ML,500ML ,PBT
GLEAM HERBS (PVT) LTD.,GLEAM HERBS FASION WHITE,GLEAM HERBS FASION WHITE/25/GM/CDB/BRIGHTENING BOOSTED NIGHT CREAM,25,GM,25GM ,CDB
UTN TRADING,ENCHANTEUR,"ENCHANTEUR/100/ML/PBT/ROMANTIC VISIBLY RADIANT SKIN VIT. A, C, E & NIACINAMIDE",100,ML,100ML ,PBT
GLEAM HERBS (PVT) LTD.,GLEAM HERBS FASION WHITE,GLEAM HERBS FASION WHITE/25/GM/CDB/BRIGHTENING BOOSTED DAY CREAM,25,GM,25GM ,CDB
PELWATTE DAIRY INDUSTRIES (PVT) LTD,PELWATTE,PELWATTE/80/G/PLCUP/LOCAL GOODNESS STRAWBERRY FLAVOURED SET YOGHURT ,80,GM,80G,PLCUP
WEERODARA STATIONERY (PVT) LTD,WEERODARA,WEERODARA/50G/PLBOT/CLEAR GLUE,50,GM,50G,PLBOT
