MANUFACTURE,BRAND,ITEMDESC,QTY,UNIT,PACKSIZE,PACKTYPE
RECKITT BENCKISER (LANKA) LTD,HARPIC,HARPIC/500 ML/PLBOT/POWER PLUS 10X ADVANCED ORIGINAL ,10000,10000,500 ML,PLBOT
RECKITT BENCKISER (LANKA) LTD,HARPIC,HARPIC/200 ML/PLBOT/POWER PLUS 10X ADVANCED ORIGINAL ,200,ML,200ML,PLBOT
LAKJAYA PRODUCTS ,LAKJAYA NOODLES,LAKJAYA NOODLES\500\G\PPP\NOODLES,500,GM,500G,PPP
KEELLS FOOD PRODUCTS LTD,ELEPHANT HOUSE,ELEPHANT HOUSE/300/GM/PLPCH/CHICKEN SAUSAGES ,300,GM,300GM ,PLPCH 
CEYLON BISCUITS LIMITED,MUNCHEE,MUNCHEE/85 GM/PLPCH/CAROL COOKIES,10000,10000,85 GM,PLPCH 
PELWATTE DAIRY INDUSTRIES (PVT) LTD,PELWATTE,PELWATTE/PLPCH/400/G/FULL CREAM MILK POWDER SAVE 50/-,400,GM,400G,PLPCH 
NESTLE LANKA,MAGGI COCONUT MILK POWDER,MAGGI/125 GM/ REAL COCONUT MILK POWDER/CDBOX,10000,10000,125 GM,CDBOX
UNILEVER SRI LANKA LTD,SUNSILK,SUNSILK/80/ML/PLBOT/DAMAGE RESTORE SHAMPOO ACTIV-MIX + FREE LIFEBUOY/75/GM/EWRPK/GLOWING SKIN SAKURA AND PINK CLAY ,80,ML,80ML ,PLBOT 
HEMAS MARKETING,DIVA,DIVA/1000/GM/FRESH 3 IN 1 ROSE & LIME DETERGENT POWDER + FREE DIVA ROSE & LIME 200 GM DETERGENT POWDER,10000,10000,1200 GM,PLPCH
CROWN GRINDING MILLS,CROWN,CROWN/250/GM/CURRY POWDER,10000,10000,250 GM,PLPCH
LANKA TRADERS,SUPREME,SUPREME/100/ML/CLOROX,10000,10000,100 ML,PLBOT
SUNIL GRINDING MILLS,SUNIL,SUNIL/1000/GM/CHILLI PIECES,10000,10000,1000 GM,PLPCH
CROWN GRINDING MILLS,CROWN,CROWN/250/GM/CHILLY POWDER,10000,10000,250 GM,PLPCH
CROWN GRINDING MILLS,CROWN,CROWN/1000/GM/CHILLI PIECES,10000,10000,1000 GM,PLPCH
CEYLON BISCUITS LIMITED,MUNCHEE ,MUNCHEE CAROL COOKIES NEW LOOK AND TASTE 85GM,85,GM,85GM,PLPCH
UNILEVER SRI LANKA LTD,VASELINE ,VASELINE /100ML/PET/NATURAL ALOE EXTACT,100,ML,100ML,PET
UNILEVER SRI LANKA LTD,WONDERLIGHT ,WONDERLIGHT /110G*2/POCH /JASMINE ,110,GM,110G*2,POCH 
SUNSHINE COUNSUMER LANKA LTD,WATAWALA CEYLON ,WATAWALA / 50 GM / PLPCH  / WATAWALA CEYLON  TEA ,10000,10000,50 GM,PLPCH 
UNILEVER SRI LANKA LTD,VASELINE ,VASELINE  / 100 ML / PLBOT / HEALTHY BRIGHT IN 2 WEEKS SARUM  IN LOTION ,10000,10000,100 ML,PLBOT 
CEYLON BISCUITS LIMITED,MUNCHEE ,MUNCHEE/ 85 GM / PLPCH  / CAROL COOKIE'S ,10000,10000,85 GM,PLPCH 
CEYLON BISCUITS LIMITED,MUNCHEE ,MUNCHEE  / 340 GM / PLPCH  / CAROL COOKIE'S,10000,10000,340 GM,PLPCH 
PELWATTE DAIRY INDUSTRIES (PVT) LTD,PELWATTE,PELWATTE /400 GM / PLPCH  / FULL  CREAM MILK POWDER  /  (SAVE RS.50 /=)  ,10000,10000,400 GM,PLPCH 
BELLOSE LANKA (PVT)LTD,BODY DOO,BODY DOO/ 200 / ML / RESTORING CARE BODY LOTION,10000,10000,200 ML,PLBOT 
PURE HERBS INTERNATIONAL LTD,O'NELLE NATURALS,"O,NELLE NATURE'S/100 / ML / PLBOT  /SHEA BATTER AND BEE HONEY PERFUMS BODY  LOTION ",10000,10000,100 ML,PLBOT 
MACKSONS CARE ( PVT) LTD ,MACRON ,MACRON/ 200 / ML / PLBOT  / BODY LOTION  SEA WEED NORMAL SKIN ,10000,10000,200 ML ,PLBOT 
MACKS MARKETING PVT LTD,MACRON,MACRON /200/ML/PLBOT/ CONDITIONER KERATIN ,10000,10000,200 ML ,PLBOT 
BELLOSE LANKA (PVT)LTD,BODY DOO,BODY DOO / 200 / ML /PLBOT/ ALOE HYDRATION BODY LOTION,10000,10000,200 ML,PLBOT 
BELLOSE LANKA (PVT)LTD,BODY DOO,BODY DOO  / 200 ML / PLBOT / EXTRA BRIGHT BODY LOTION ,10000,10000,200 ML,PLBOT 
PRINT EXCEL PVT LTD,PROMATE,PROMATE/50/PGS/BOOK/NOTE BOOK A6,10000,10000,50 PGS,BOOK
