catcode,company,brand,sku,packtype,base_pack,wght,uom,qty,mrp
118,F & N COCACOLA-SINGAPORE,F & N ORANGE,ORANGE CRUSH PET 1500 ML,PET,1500.000 ML,1500.0,ML,1500.0,0.0
118,F & N COCACOLA-MALAYSIA,F & N TONIC WATER,MINUMAN TAWAR CAN 325 ML,CAN,325.000 ML,325.0,ML,325.0,0.0
118,F & N COCACOLA-SINGAPORE,F & N APPLE,APPLE CAN 330 ML,CAN,330.000 ML,330.0,ML,330.0,0.0
118,F & N COCACOLA-SINGAPORE,F & N GRAPE,GRAPE CAN 330 ML,CAN,330.000 ML,330.0,ML,330.0,0.0
118,F & N COCACOLA-SINGAPORE,F & N ORANGE,ORANGE CRUSH PET 500 ML,PET,500.000 ML,500.0,ML,500.0,0.0
118,BOTTLERS NEPAL - NEPAL,FANTA ORANGE,ORANGE RGB 250 ML,RGB,250.000 ML,250.0,ML,250.0,0.0
118,THE COCACOLA COMPANY-IMPORTED,FANTA ORANGE,ORANGE CAN 325 ML,CAN,325.000 ML,325.0,ML,325.0,0.0
118,THE COCACOLA COMPANY-IMPORTED,FANTA ORANGE,ORANGE CAN 355 ML,CAN,355.000 ML,355.0,ML,355.0,0.0
118,BOTTLERS NEPAL - NEPAL,FANTA LEMON,LEMON RGB 250 ML,RGB,250.000 ML,250.0,ML,250.0,0.0
118,BOTTLERS NEPAL - NEPAL,FANTA,SODA RGB 250 ML,RGB,250.000 ML,250.0,ML,250.0,0.0
118,AMRIT JUICE & SAUCE - NEPAL,FRESH JUICY,PPH 200 ML,PPH,200.000 ML,200.0,ML,200.0,0.0
118,DUGAR FOOD & BEVERAGE-NEPAL,FROOTI,MANGO TPK 200 ML,TPK,200.000 ML,200.0,ML,200.0,0.0
118,AL-AIN NATIONAL JUICE-UAE,FRUIT COCKTAIL,TPK 250 ML-AL,TPK,250.000 ML,250.0,ML,250.0,0.0
118,SIRJANA PURE WATER - NEPAL,H20,PET 1000 ML,PET,1000.000 ML,1000.0,ML,1000.0,0.0
118,JEENHUATE FOOD - MALYASIA,JEFI,CAN 240 ML,CAN,240.000 ML,240.0,ML,240.0,0.0
118,JEENHUATE FOOD - MALYASIA,JEFI,CAN 240 ML,CAN,240.000 ML,240.0,ML,240.0,0.0
118,JEENHUATE FOOD - MALYASIA,JEFI,CAN 240 ML,CAN,240.000 ML,240.0,ML,240.0,0.0
118,JEENHUATE FOOD - MALYASIA,JEFI,CAN 250 ML,CAN,250.000 ML,250.0,ML,250.0,0.0
118,JEENHUATE FOOD - MALYASIA,JEFI,CAN 250 ML,CAN,250.000 ML,250.0,ML,250.0,0.0
118,JEENHUATE FOOD - MALYASIA,JEFI,CAN 250 ML,CAN,250.000 ML,250.0,ML,250.0,0.0
118,JEENHUATE FOOD - MALYASIA,JEFIT LYCHEE DRINK,MINUMAN LAICI CAN 300 ML,CAN,300.000 ML,300.0,ML,300.0,0.0
118,JEENHUATE FOOD - MALYASIA,JEFIT LYCHEE DRINK,MINUMAN OREN CAN 300 ML,CAN,300.000 ML,300.0,ML,300.0,0.0
118,RAYBOT DRINKS-NEPAL,JUICY,ORANGE PPH 170 ML,PPH,170.000 ML,170.0,ML,170.0,0.0
118,AQUA MINERAL NEPAL LTD.- NEPAL,LA HUNDRED,PET 1000 ML,PET,1000.000 ML,1000.0,ML,1000.0,0.0
118,VARUN BEVERAGE -NEPAL,LEHAR,SODA PET 1500 ML,PET,1500.000 ML,1500.0,ML,1500.0,0.0
118,GOLDEN CIRCLE LTD.-AUSTRALIA,LEMONADE,CAN 375 ML,CAN,375.000 ML,375.0,ML,375.0,0.0
118,MINUMAN-MALYASIA,LYCHEE,CAN 300 ML,CAN,300.000 ML,300.0,ML,300.0,0.0
118,MALEE SAMPRAN - THAILAND,MALEE,CHRYSANTHEMUM DR CAN 240 ML,CAN,240.000 ML,240.0,ML,240.0,0.0
118,AL-AIN NATIONAL JUICE-UAE,MANGO,TPK 250 ML-AL,TPK,250.000 ML,250.0,ML,250.0,0.0
118,AL-AIN NATIONAL JUICE-UAE,MANGO,TPK 125 ML-AL,TPK,125.000 ML,125.0,ML,125.0,0.0
118,DIBUAT UNTUK UNZA- MALAYSIA,MERIGOLD,GRAPE DRINK TPK 250 ML,TPK,250.000 ML,250.0,ML,250.0,0.0
118,DIBUAT UNTUK UNZA- MALAYSIA,MERIGOLD,LYCHEE DRINK TPK 250 ML,TPK,250.000 ML,250.0,ML,250.0,0.0
118,DIBUAT UNTUK UNZA- MALAYSIA,MERIGOLD,MINUMAN MANGGA TPK 250 ML,TPK,250.000 ML,250.0,ML,250.0,0.0
118,DIBUAT UNTUK UNZA- MALAYSIA,MERIGOLD,ORANGE DRINK TPK 250 ML,TPK,250.000 ML,250.0,ML,250.0,0.0
118,VARUN BEVERAGE -NEPAL,MIRINDA ORANGE,ORANGE PET 1500 ML,PET,1500.000 ML,1500.0,ML,1500.0,0.0
118,VARUN BEVERAGE -NEPAL,MIRINDA ORANGE,ORANGE CAN 330 ML,CAN,330.000 ML,330.0,ML,330.0,0.0
118,NEW TOWER NAT. DRINK-HONGKONG,NATURE,APPLE JUICE CAN 240 ML,CAN,240.000 ML,240.0,ML,240.0,0.0
118,NEW TOWER NAT. DRINK-HONGKONG,NATURE,ORANGE JUICE CAN 240 ML,CAN,240.000 ML,240.0,ML,240.0,0.0
118,NEW TOWER NAT. DRINK-HONGKONG,NATURE,PAPAYA JUICE CAN 240 ML,CAN,240.000 ML,240.0,ML,240.0,0.0
118,NEW TOWER NAT. DRINK-HONGKONG,NATURE,PINEAPPLE JUICE CAN 240 ML,CAN,240.000 ML,240.0,ML,240.0,0.0
118,NEW TOWER NAT. DRINK-HONGKONG,NATURE,RAM BUTAN JUICE CAN 240 ML,CAN,240.000 ML,240.0,ML,240.0,0.0
118,NEW TOWER NAT. DRINK-HONGKONG,NATURE,SUA DUA CAN 240 ML,CAN,240.000 ML,240.0,ML,240.0,0.0
118,AL-AIN NATIONAL JUICE-UAE,ORANGE DIRNK,TPK 250 ML-AL,TPK,250.000 ML,250.0,ML,250.0,0.0
118,PEPSI COLA CMPNY IMPRTD-IMPRTD,PEPSI,CAN 300 ML,CAN,300.000 ML,300.0,ML,300.0,0.0
118,PEPSI COLA CMPNY IMPRTD-IMPRTD,PEPSI,CAN 355 ML,CAN,355.000 ML,355.0,ML,355.0,0.0
118,VARUN BEVERAGE -NEPAL,PEPSI,CAN 330 ML,CAN,330.000 ML,330.0,ML,330.0,0.0
118,VARUN BEVERAGE -NEPAL,PEPSI,PET 500 ML,PET,500.000 ML,500.0,ML,500.0,0.0
118,VARUN BEVERAGE -NEPAL,PEPSI,PET 1500 ML,PET,1500.000 ML,1500.0,ML,1500.0,0.0
118,MALEE SAMPRAN - THAILAND,PINE APPLE JUICE,CAN 180 ML,CAN,180.000 ML,180.0,ML,180.0,0.0
118,PT KAPAL-INDONESIA,POCARI SWEET,ISOTONIC DRINK CAN 330 ML,CAN,330.000 ML,330.0,ML,330.0,0.0
118,POKTA CORPORATION-SINGAPORE,POKTA MILK COFFEE,CAN 240 ML,CAN,240.000 ML,240.0,ML,240.0,0.0
118,RAYBOT DRINKS-NEPAL,POP,SODA PET 300 ML,PET,300.000 ML,300.0,ML,300.0,0.0
118,ORIENTAL FRUIT & BEV.- NEPAL,POPEYE ORANGE,PET 200 ML,PET,200.000 ML,200.0,ML,200.0,0.0
118,DABUR NEPAL LTD.-NEPAL,REAL,MANGO NECTOR TPK 1000 ML,TPK,1000.000 ML,1000.0,ML,1000.0,0.0
118,DABUR NEPAL LTD.-NEPAL,REAL,MIXED FRUIT TPK 1000 ML,TPK,1000.000 ML,1000.0,ML,1000.0,0.0
118,DABUR NEPAL LTD.-NEPAL,REAL,PINEAPPLE JUICE TPK 1000 ML,TPK,1000.000 ML,1000.0,ML,1000.0,0.0
118,DABUR NEPAL LTD.-NEPAL,REAL,TOMATO JUICE TPK 1000 ML,TPK,1000.000 ML,1000.0,ML,1000.0,0.0
118,CHAUDHARY GROUP - NEPAL,RIO,MANGO TPK 200 ML,TPK,200.000 ML,200.0,ML,200.0,0.0
118,YHS P. LTD.-SINGAPORE,SCHWEPPES,TONIC WATER CAN 330 ML,CAN,330.000 ML,330.0,ML,330.0,0.0
118,YHS P. LTD.-SINGAPORE,SCHWEPPES,CREAM SODA CAN 330 ML,CAN,330.000 ML,330.0,ML,330.0,0.0
118,VARUN BEVERAGE -NEPAL,SLICE,RGB 250 ML,RGB,250.000 ML,250.0,ML,250.0,0.0
118,NEW SHANSAI-NEPAL,SOFT DRINK,ORANGE PPH 200 ML,PPH,200.000 ML,200.0,ML,200.0,0.0
118,BOTTLERS NEPAL - NEPAL,SPRITE,RGB 250 ML,RGB,250.000 ML,250.0,ML,250.0,0.0
118,COCA COLA -SINGAPORE,SPRITE,CAN 330 ML,CAN,330.000 ML,330.0,ML,330.0,0.0
118,F & N COCACOLA-MALAYSIA,SPRITE,PET 1500 ML,PET,1500.000 ML,1500.0,ML,1500.0,0.0
118,F & N COCACOLA-MALAYSIA,SPRITE,PET 500 ML,PET,500.000 ML,500.0,ML,500.0,0.0
118,THE COCACOLA COMPANY-MALAYSIA,SPRITE,CAN 325 ML,CAN,325.000 ML,325.0,ML,325.0,0.0
118,THE COCACOLA COMPANY-CHINA,SPRITE,CAN 355 ML,CAN,355.000 ML,355.0,ML,355.0,0.0
118,VARUN BEVERAGE -NEPAL,TEEM,SODA RGB 250 ML,RGB,250.000 ML,250.0,ML,250.0,0.0
118,RAYBOT SPRING'S - NEPAL,THIRST-PI,PET 1000 ML,PET,1000.000 ML,1000.0,ML,1000.0,0.0
118,RAYBOT SPRING'S - NEPAL,THIRST-PI,PET 1500 ML,PET,1500.000 ML,1500.0,ML,1500.0,0.0
118,RAYBOT SPRING'S - NEPAL,THIRST-PI,PET 500 ML,PET,500.000 ML,500.0,ML,500.0,0.0
118,CM AQUA BEVERAGES - NEPAL,TODAY'S,PET 1000 ML,PET,1000.000 ML,1000.0,ML,1000.0,0.0
118,NATIONAL REFRESHMENT -UAE,TONIC WATER,CAN 330 ML,CAN,330.000 ML,330.0,ML,330.0,0.0
118,OLYMPIC MINERAL WATER - NEPAL,TRIVENI,PET 1000 ML,PET,1000.000 ML,1000.0,ML,1000.0,0.0
118,GARG BEVERAGES - NEPAL,YES,PET 1000 ML,PET,1000.000 ML,1000.0,ML,1000.0,0.0
118,,,,,,1.0,ML,1.0,0.0
118,BOTTLERS NEPAL - NEPAL,COCA-COLA,PET 1500 ML,PET,1500.000 ML,1500.0,ML,1500.0,0.0
118,BOTTLERS NEPAL - NEPAL,COCA-COLA,CAN 330 ML,CAN,330.000 ML,330.0,ML,330.0,0.0
118,RAYBOT DRINKS-NEPAL,FRUJO,PET 300 ML,PET,300.000 ML,300.0,ML,300.0,0.0
118,VARUN BEVERAGE -NEPAL,LEHAR,SODA PET 500 ML,PET,500.000 ML,500.0,ML,500.0,0.0
118,VARUN BEVERAGE -NEPAL,MIRINDA ORANGE,ORANGE PET 500 ML,PET,500.000 ML,500.0,ML,500.0,0.0
118,VARUN BEVERAGE -NEPAL,MIRINDA ORANGE,ORANGE PET 2000 ML,PET,2000.000 ML,2000.0,ML,2000.0,0.0
118,THE AGRI. MKT. - BNGLADESH,PRAN,MANGO PINE TPK 250 ML,TPK,250.000 ML,250.0,ML,250.0,0.0
118,DABUR NEPAL LTD.-NEPAL,REAL,ORANGE TPK 250 ML,TPK,250.000 ML,250.0,ML,250.0,0.0
118,DABUR NEPAL LTD.-NEPAL,REAL ACTIV,APPLE TPK 1000 ML,TPK,1000.000 ML,1000.0,ML,1000.0,0.0
118,DABUR NEPAL LTD.-NEPAL,REAL,ORANGE TIN 500 ML,TPK,500.000 ML,500.0,ML,500.0,0.0
118,VARUN BEVERAGE -NEPAL,MIRINDA ORANGE,ORANGE RGB 250 ML,RGB,250.000 ML,250.0,ML,250.0,0.0
118,VARUN BEVERAGE -NEPAL,PEPSI,RGB 250 ML,RGB,250.000 ML,250.0,ML,250.0,0.0
118,ASIAN DRINK PVT LTD - NEPAL,AQUA SMILE,PET 1000 ML,PET,1000.000 ML,1000.0,ML,1000.0,0.0
118,DEL MONTE PHILS - PHILIPINES,DEL MONTE,GRAPE FRUIT CAN 240 ML,CAN,240.000 ML,240.0,ML,240.0,0.0
118,DEL MONTE PHILS - PHILIPINES,DEL MONTE,MANGO CAN 240 ML,CAN,240.000 ML,240.0,ML,240.0,0.0
118,DEL MONTE PHILS - PHILIPINES,DEL MONTE,ORANGE JUICE CAN 240 ML,CAN,240.000 ML,240.0,ML,240.0,0.0
118,DEL MONTE PHILS - PHILIPINES,DEL MONTE,PINEAPPLE CRUSH CAN 240 ML,CAN,240.000 ML,240.0,ML,240.0,0.0
118,DEL MONTE PHILS - PHILIPINES,DEL MONTE,PINEAPPLE GRAPE CAN 240 ML,CAN,240.000 ML,240.0,ML,240.0,0.0
118,DEL MONTE PHILS - PHILIPINES,DEL MONTE,PINEAPPLE LYCHEE CAN 240 ML,CAN,240.000 ML,240.0,ML,240.0,0.0
118,DEL MONTE PHILS - PHILIPINES,DEL MONTE,PINEAPPLE ORANGE CAN 240 ML,CAN,240.000 ML,240.0,ML,240.0,0.0
118,DEL MONTE PHILS - PHILIPINES,DEL MONTE,SWEETEND PINEAPLE CAN 240 ML,CAN,240.000 ML,240.0,ML,240.0,0.0
118,BOTTLERS NEPAL - NEPAL,FANTA ORANGE,ORANGE PET 1500 ML,PET,1500.000 ML,1500.0,ML,1500.0,0.0
118,TRIVENI AQUA MINERAL - NEPAL,GOOD WATER,PET 1000 ML,PET,1000.000 ML,1000.0,ML,1000.0,0.0
118,SELECTA DAIRY PROD.- PHILIPINE,MOO,CHOC. MILK DRINK TPK 200 ML,TPK,200.000 ML,200.0,ML,200.0,0.0
118,SELECTA DAIRY PROD.- PHILIPINE,MOO,CHOC. MILK DRINK TPK 250 ML,TPK,250.000 ML,250.0,ML,250.0,0.0
118,DABUR NEPAL LTD.-NEPAL,REAL,ORANGE NECTOR TPK 1000 ML,TPK,1000.000 ML,1000.0,ML,1000.0,0.0
118,DABUR NEPAL LTD.-NEPAL,REAL,MANGO NECTOR TPK 200 ML,TPK,200.000 ML,200.0,ML,200.0,0.0
118,CHAUDHARY GROUP - NEPAL,RIO,PINEAPPLE TPK 200 ML,TPK,200.000 ML,200.0,ML,200.0,0.0
118,SELECTA DAIRY PROD.- PHILIPINE,SUNKIST,APPLE FRUIT DRINK TPK 200 ML,TPK,200.000 ML,200.0,ML,200.0,0.0
118,SELECTA DAIRY PROD.- PHILIPINE,SUNKIST,GRAPE FRUIT DRINK TPK 200 ML,TPK,200.000 ML,200.0,ML,200.0,0.0
118,SELECTA DAIRY PROD.- PHILIPINE,SUNKIST,MANGO FRUIT DRINK TPK 200 ML,TPK,200.000 ML,200.0,ML,200.0,0.0
118,SELECTA DAIRY PROD.- PHILIPINE,SUNKIST,ORANGE FRT DRINK TPK 200 ML,TPK,200.000 ML,200.0,ML,200.0,0.0
118,SELECTA DAIRY PROD.- PHILIPINE,SUNKIST,APPLE FRUIT DRINK TPK 250 ML,TPK,250.000 ML,250.0,ML,250.0,0.0
118,SELECTA DAIRY PROD.- PHILIPINE,SUNKIST,GRAPE FRUIT DRINK TPK 250 ML,TPK,250.000 ML,250.0,ML,250.0,0.0
118,SELECTA DAIRY PROD.- PHILIPINE,SUNKIST,MANGO FRUIT DRINK TPK 250 ML,TPK,250.000 ML,250.0,ML,250.0,0.0
118,SELECTA DAIRY PROD.- PHILIPINE,SUNKIST,ORANGE FRT DRINK TPK 250 ML,TPK,250.000 ML,250.0,ML,250.0,0.0
118,TAMOR MINERAL WATER IND - NEPA,TAMOR,PET 1000 ML,PET,1000.000 ML,1000.0,ML,1000.0,0.0
118,NEW TOWER NAT. DRINK-HONGKONG,NATURE,MANGO CAN 240 ML,CAN,240.000 ML,240.0,ML,240.0,0.0
118,VARUN BEVERAGE -NEPAL,PEPSI,PET 2000 ML,PET,2000.000 ML,2000.0,ML,2000.0,0.0
118,DABUR NEPAL LTD.-NEPAL,REAL,PINEAPPLE DRINK TPK 500 ML,TPK,500.000 ML,500.0,ML,500.0,0.0
118,DABUR NEPAL LTD.-NEPAL,REAL,MIXED FRUIT TPK 500 ML,TPK,500.000 ML,500.0,ML,500.0,0.0
118,DABUR NEPAL LTD.-NEPAL,REAL,GRAPE TPK 1000 ML,TPK,1000.000 ML,1000.0,ML,1000.0,0.0
118,DABUR NEPAL LTD.-NEPAL,REAL,GUAVA TPK 1000 ML,TPK,1000.000 ML,1000.0,ML,1000.0,0.0
118,BOTTLERS NEPAL - NEPAL,SPRITE,PET 1500 ML,PET,1500.000 ML,1500.0,ML,1500.0,0.0
118,BOTTLERS NEPAL - NEPAL,COCA-COLA,PET 500 ML,PET,500.000 ML,500.0,ML,500.0,0.0
118,BOTTLERS NEPAL - NEPAL,FANTA ORANGE,ORANGE PET 500 ML,PET,500.000 ML,500.0,ML,500.0,0.0
118,SUNSHINE BEVERAGES PRODUCTS-NP,DELA,PET 1000 ML,PET,1000.000 ML,1000.0,ML,1000.0,0.0
118,BOTTLERS NEPAL - NEPAL,KINLEY,PET 1000 ML,PET,1000.000 ML,1000.0,ML,1000.0,0.0
118,VARUN BEVERAGE -NEPAL,PEPSI AHA,PET 1500 ML,PET,1500.000 ML,1500.0,ML,1500.0,0.0
118,VARUN BEVERAGE -NEPAL,PEPSI AHA,PET 500 ML,PET,500.000 ML,500.0,ML,500.0,0.0
118,DABUR NEPAL LTD.-NEPAL,REAL,GRAPE TPK 200 ML,TPK,200.000 ML,200.0,ML,200.0,0.0
118,DABUR NEPAL LTD.-NEPAL,REAL,MIXED FRUIT TPK 200 ML,TPK,200.000 ML,200.0,ML,200.0,0.0
118,DABUR NEPAL LTD.-NEPAL,REAL,GUAVA TPK 200 ML,TPK,200.000 ML,200.0,ML,200.0,0.0
118,DABUR NEPAL LTD.-NEPAL,REAL,PINEAPPLE TPK 200 ML,TPK,200.000 ML,200.0,ML,200.0,0.0
118,DABUR NEPAL LTD.-NEPAL,REAL,ORANGE TPK 200 ML,TPK,200.000 ML,200.0,ML,200.0,0.0
118,CHAUDHARY GROUP - NEPAL,RIO,LYCHEE TPK 200 ML,TPK,200.000 ML,200.0,ML,200.0,0.0
118,BOTTLERS NEPAL - NEPAL,SPRITE,PET 500 ML,PET,500.000 ML,500.0,ML,500.0,0.0
118,CRYSTAL DRINK & BEVERAGE - NEP,CRYSTAL,PET 1000 ML,PET,1000.000 ML,1000.0,ML,1000.0,0.0
118,F & N COCACOLA-SINGAPORE,DIET COKE LIGHT,LIGHT CAN 330 ML,CAN,330.000 ML,330.0,ML,330.0,0.0
118,RIJAL TASHI IND. PVT LTD-NEPAL,DRUK,MANGO TIN 425 ML,TIN,425.000 ML,425.0,ML,425.0,0.0
118,RIJAL TASHI IND. PVT LTD-NEPAL,DRUK,ORANGE TIN 425 ML,TIN,425.000 ML,425.0,ML,425.0,0.0
118,RIJAL TASHI IND. PVT LTD-NEPAL,DRUK,PINEAPPLE TIN 425 ML,TIN,425.000 ML,425.0,ML,425.0,0.0
118,RIJAL TASHI IND. PVT LTD-NEPAL,DRUK,MANGO TIN 800 ML,TIN,800.000 ML,800.0,ML,800.0,0.0
118,RIJAL TASHI IND. PVT LTD-NEPAL,DRUK,ORANGE TIN 800 ML,TIN,800.000 ML,800.0,ML,800.0,0.0
118,RIJAL TASHI IND. PVT LTD-NEPAL,DRUK,PINEAPPLE TIN 800 ML,TIN,800.000 ML,800.0,ML,800.0,0.0
118,RAYBOT DRINKS-NEPAL,FRUJO ORANGE,ORANGE PET 250 ML,PET,250.000 ML,250.0,ML,250.0,0.0
118,TRIVENI AQUA MINERAL - NEPAL,POLO,PET 1000 ML,PET,1000.000 ML,1000.0,ML,1000.0,0.0
118,RAYBOT DRINKS-NEPAL,POP,SODA PET 500 ML,PET,500.000 ML,500.0,ML,500.0,0.0
118,DABUR NEPAL LTD.-NEPAL,REAL,LYCHEE TPK 1000 ML,TPK,1000.000 ML,1000.0,ML,1000.0,0.0
118,ORCHID FOOD (P) LTD - IMP,UFC,APPLE CAN 240 ML,CAN,240.000 ML,240.0,ML,240.0,0.0
118,ORCHID FOOD (P) LTD - IMP,UFC,COCONUT CAN 240 ML,CAN,240.000 ML,240.0,ML,240.0,0.0
118,ORCHID FOOD (P) LTD - IMP,UFC,GRAPE CAN 240 ML,CAN,240.000 ML,240.0,ML,240.0,0.0
118,ORCHID FOOD (P) LTD - IMP,UFC,MANGO CAN 240 ML,CAN,240.000 ML,240.0,ML,240.0,0.0
118,ORCHID FOOD (P) LTD - IMP,UFC,ORANGE CAN 240 ML,CAN,240.000 ML,240.0,ML,240.0,0.0
118,ORCHID FOOD (P) LTD - IMP,UFC,PINEAPPLE CAN 240 ML,CAN,240.000 ML,240.0,ML,240.0,0.0
118,BOTTLERS NEPAL - NEPAL,KINLEY,SODA PET 500 ML,PET,500.000 ML,500.0,ML,500.0,0.0
118,BOTTLERS NEPAL - NEPAL,KINLEY,SODA PET 1500 ML,PET,1500.000 ML,1500.0,ML,1500.0,0.0
118,VARUN BEVERAGE -NEPAL,MOUNTAIN DEW,PET 500 ML,PET,500.000 ML,500.0,ML,500.0,0.0
118,SHAKTI MINERAL WATER - NEPAL,SHAKTI,PET 1000 ML,PET,1000.000 ML,1000.0,ML,1000.0,0.0
118,CRYSTAL DRINK & BEVERAGE - NEP,CRYSTAL,JAR 20000 ML,JAR,20000.000 ML,20000.0,ML,20000.0,0.0
118,PARTEX BEVERAGES - BANGLADESH,DIET RC COLA,CAN 250 ML,CAN,250.000 ML,250.0,ML,250.0,0.0
118,SHREE MINERAL WATER PVT.LTD -,MOUNT EVEREST,PET 1000 ML,PET,1000.000 ML,1000.0,ML,1000.0,0.0
118,PARTEX BEVERAGES - BANGLADESH,RC COLA,CAN 250 ML,CAN,250.000 ML,250.0,ML,250.0,0.0
118,CHAUDHARY GROUP - NEPAL,RIO,ORANGE TPK 200 ML,TPK,200.000 ML,200.0,ML,200.0,0.0
118,PARTEX BEVERAGES - BANGLADESH,ROYAL CROWN,CAN 250 ML,CAN,250.000 ML,250.0,ML,250.0,0.0
118,ASIAN DRINK PVT LTD - NEPAL,SIPHONY,PET 300 ML,PET,300.000 ML,300.0,ML,300.0,0.0
118,RAYBOT SPRING'S - NEPAL,THIRST-TA,PET 1000 ML,PET,1000.000 ML,1000.0,ML,1000.0,0.0
118,RAYBOT DRINKS-NEPAL,FRUJO COLA,COLA PET 250 ML,PET,250.000 ML,250.0,ML,250.0,0.0
118,RAYBOT DRINKS-NEPAL,FRUJO LEMON,LEMON PET 250 ML,PET,250.000 ML,250.0,ML,250.0,0.0
118,RAYBOT DRINKS-NEPAL,FRUJO MANGO,MANGO PET 250 ML,PET,250.000 ML,250.0,ML,250.0,0.0
118,BERRI LTD - AUSTRALIA,BERRI,ORANGE & MANGO PET 1000 ML,PET,1000.000 ML,1000.0,ML,1000.0,0.0
118,BERRI LTD - AUSTRALIA,BERRI,DARK GRAPE JUICE PET 2000 ML,PET,2000.000 ML,2000.0,ML,2000.0,0.0
118,BERRI LTD - AUSTRALIA,BERRI,ORANGE JUICE PET 2000 ML,PET,2000.000 ML,2000.0,ML,2000.0,0.0
118,VARUN BEVERAGE -NEPAL,MOUNTAIN DEW,PET 1500 ML,PET,1500.000 ML,1500.0,ML,1500.0,0.0
118,BERRI LTD - AUSTRALIA,BERRI,APPLE/BLACK CURR PET 1000 ML,PET,1000.000 ML,1000.0,ML,1000.0,0.0
118,BERRI LTD - AUSTRALIA,BERRI,APPLE PET 1000 ML,PET,1000.000 ML,1000.0,ML,1000.0,0.0
118,BERRI LTD - AUSTRALIA,BERRI,APPLE PET 2000 ML,PET,2000.000 ML,2000.0,ML,2000.0,0.0
118,BERRI LTD - AUSTRALIA,BERRI,DARK GRAPE PET 1000 ML,PET,1000.000 ML,1000.0,ML,1000.0,0.0
