catcode,company,brand,itemdesc,packaging,qty,uomdesc,pack_size
105,KT&G-KOREA,ESSE MENTHOL,ESSE MENTHOL-ESSE-FRESH-HL 20'S-LONG SS-PREMIUM,HL,20.0,NO,20
105,KT&G-KOREA,ESSE BLUE,ESSE BLUE-ESSE-LIGHT-HL 20'S-LONG SS-PREMIUM,HL,20.0,NO,20
105,KT&G-KOREA,ESSE CHANGE W MINI,ESSE CHANGE W MINI-ESSE-FRESH-HL 20'S-KS SLIM-PREMIUM,HL,20.0,NO,20
118,VARUN BEVERAGE -NEPAL,7 UP,7 UP-LEMON-RGB 250 ML,RGB,250.0,ML,250.000 ML
118,BOTTLERS NEPAL - NEPAL,COCA-COLA,COCA-COLA-COLA-RGB 250 ML,RGB,250.0,ML,250.000 ML
118,BOTTLERS NEPAL - NEPAL,FANTA ORANGE,FANTA ORANGE-ORANGE-ORANGE RGB 250 ML,RGB,250.0,ML,250.000 ML
118,VARUN BEVERAGE -NEPAL,MIRINDA ORANGE,MIRINDA ORANGE-ORANGE-ORANGE PET 1500 ML,PET,1500.0,ML,1500.000 ML
118,VARUN BEVERAGE -NEPAL,PEPSI,PEPSI-COLA-PET 500 ML,PET,500.0,ML,500.000 ML
118,VARUN BEVERAGE -NEPAL,PEPSI,PEPSI-COLA-PET 1500 ML,PET,1500.0,ML,1500.000 ML
118,BOTTLERS NEPAL - NEPAL,SPRITE,SPRITE-LEMON-RGB 250 ML,RGB,250.0,ML,250.000 ML
118,VARUN BEVERAGE -NEPAL,TEEM,TEEM-SODA-SODA RGB 250 ML,RGB,250.0,ML,250.000 ML
118,BOTTLERS NEPAL - NEPAL,COCA-COLA,COCA-COLA-COLA-PET 1500 ML,PET,1500.0,ML,1500.000 ML
118,VARUN BEVERAGE -NEPAL,LEHAR,LEHAR-SODA-SODA PET 500 ML,PET,500.0,ML,500.000 ML
118,VARUN BEVERAGE -NEPAL,MIRINDA ORANGE,MIRINDA ORANGE-ORANGE-ORANGE PET 500 ML,PET,500.0,ML,500.000 ML
118,VARUN BEVERAGE -NEPAL,MIRINDA ORANGE,MIRINDA ORANGE-ORANGE-ORANGE PET 2000 ML,PET,2000.0,ML,2000.000 ML
118,VARUN BEVERAGE -NEPAL,MIRINDA ORANGE,MIRINDA ORANGE-ORANGE-ORANGE RGB 250 ML,RGB,250.0,ML,250.000 ML
118,VARUN BEVERAGE -NEPAL,PEPSI,PEPSI-COLA-RGB 250 ML,RGB,250.0,ML,250.000 ML
118,BOTTLERS NEPAL - NEPAL,FANTA ORANGE,FANTA ORANGE-ORANGE-ORANGE PET 1500 ML,PET,1500.0,ML,1500.000 ML
