DATE,PERIOD,AUDITYPE,STORECODE,DLRCODE,ITEMCODE,NEW_CODES,CATEGORY,MANUFACTURE,BRAND,ITEMDESC,MRP,PACKSIZE,PACKTYPE,COMMENTS,IMAGE,CODE COMMENT,FLAG
2022-03-04 00:00:00,202202,,124620444,,1646291949538,92525962,120,THE HIMALAYA DRUG COMPANY INDIA ,HIMALAYA SINCE 1930,HIMALAYA SINCE 1930/NEEM & TURMERIC SOAP/125GM/CBP,80,CBP,125GM ,,1646291949538-the himalaya drug company india -himalaya since 1930.png,CROSS CODING,2
2022-03-04 00:00:00,202202,,124620444,,1646292311119,99763252,132,NOBEL HYGIENE PVT LTD-INDIA,EASY TEDDYY BABY DIAPER PANTS ,EASY TEDDY BABY DIAPER PANTS/MEDIUM/5 PANTS/PPH,100,PPH,5 PANTS ,,1646292311119-nobel hygiene pvt ltd-india-easy teddyy baby diaper pants .png,RECODING,5
2022-03-04 00:00:00,202202,,124620444,,1646292800312,99763251,130,MHL HEALTHCARE LTD-INDIA,THRIL PLAN,THRIL PLAN/MIXED FRUIT/3 UNITS/CBP,30,CBP,3 UNIT ,,1646292800312-mhl healthcare ltd-india-thril plan.png,RECODING,5
2022-03-04 00:00:00,202202,,124620444,,1646292085518,99763245,120,THE HIMALAYA DRUG COMPANY INDIA ,HIMALAYA SINCE 1930,HIMALAYA SINCE 1930/PURE HANDS TULSI SOAP/75GM/CBP,55,CBP,75GM ,,1646292085518-the himalaya drug company india -himalaya since 1930.png,RECODING,5
2022-03-04 00:00:00,202203,,125439446,,1646291875484,99763224,118,HYGEN PACKS NEPAL P.LTD ,MANIA,MANIA\200\ML,25,TPK,200ML,New SKU,1646291875484-hygen packs nepal p-ltd -mania.png,RECODING,5
2022-03-04 00:00:00,202203,,115188993,,1646290120998,99763244,120,UNILEVER NEPAL LTD-NEPAL,LIRIL,LIRIL/LIME RUSH/75GMS/4NOS/SAVE RS 12,110,EWP,75GMS,Invoices not available,1646290120998-unilever nepal ltd-nepal-liril.png,RECODING,5
2022-03-05 00:00:00,202203,,129544870,,1646368421860,99763270,116,ANYTIME HYGIENE PVT LTD-NEPAL,ANYTIME ,ANYTIME REGULAR WITH WINGS 7 PADS,55,PPH,7NOS,,1646368421860-anytime hygiene pvt ltd-nepal-anytime .png,RECODING,5
2022-03-05 00:00:00,202203,,129544870,,1646366854560,99763256,130,SUNSHINE AYUCARE INDIA,MAX FORCE,MAX FORCE MINT 3NOS,50,CBP,3NOS,,1646366854560-sunshine ayucare india-max force.png,RECODING,5
2022-03-05 00:00:00,202203,,129544870,,1646367026962,99763254,130,MANKIND PHARMA LTD-INDIA,MAN FORCE,MAN FORCE OVERTIME PINEAPPLE 3NOS,50,CBP,3NOS,,1646367026962-mankind pharma ltd-india-man force.png,RECODING,5
2022-03-05 00:00:00,202203,,129544870,,1646368138730,99763269,116,ANYTIME HYGIENE PVT LTD-NEPAL,ANYTIME ULTRA THIN,ANYTIME ULTRA THIN WINGS 7 PADS,80,PPH,7NOS,,1646368138730-anytime hygiene pvt ltd-nepal-anytime ultra thin.png,RECODING,5
2022-03-05 00:00:00,202203,,129544870,,1646367494983,99763257,130,AABHA CONTRACEPTIVES PVT LTD-IND,K2,K2 ULTRA THIN 3NOS,50,CBP,3NOS,,1646367494983-aabha contraceptives pvt ltd-ind-k2.png,RECODING,5
2022-03-05 00:00:00,202203,,129371691,,1646364682008,99763255,130,MANKIND PHARMA LTD-INDIA,MAN FORCE,MAN FORCE COCKTAIL CHOCOLATE 3NOS,50,CBP,3NOS,,1646364682008-mankind pharma ltd-india-man force.png,RECODING,5
2022-03-05 00:00:00,202203,,129371691,,1646363448539,99763253,130,MANKIND PHARMA LTD-INDIA,MAN FORCE,MAN FORCE OVERTIME PINEAPPLE 10NOS,200,CBP,10 NOS,,1646363448539-mankind pharma ltd-india-man force.png,RECODING,5
2022-03-05 00:00:00,202203,,129024572,,1646381444316,,117,UNILEVER NEPAL LTD-NEPAL,CLEAR ANTIDANDRUFF,CLEAR ANTI DANDRUFF SCALP CARE 325ML,350,PBT,325ML,,1646381444316-unilever nepal ltd-nepal-clear antidandruff.png,PARKER FOR NEXT MONTH,999
2022-03-05 00:00:00,202203,,129024572,,1646383138242,99763267,110,HYGIENIC RESEARCH - INDIA,STREAX ,STREAX 0.6 FLAME RED 60ML,96,CBP,60ML,,1646383138242-hygienic research - india-streax .png,RECODING,5
2022-03-05 00:00:00,202203,,129024572,,1646383588032,53645,110,LOREAL INDIA - INDIA,GARNIER COLOR NATURALS,GARNIER COLOR NATURALS 4 BROWN 65G,130,CBP,65G,,1646383588032-loreal india - india-garnier color naturals.png,CROSS CODING,2
2022-03-05 00:00:00,202203,,129024572,,1646380192107,99763273,117,UNILEVER NEPAL LTD-NEPAL,DOVE,DOVE  INTENSE REPAIR 680ML,600,PBT,680ML,,1646380192107-unilever nepal ltd-nepal-dove.png,RECODING,5
2022-03-05 00:00:00,202203,,129024572,,1646380770201,99763274,117,UNILEVER NEPAL LTD-NEPAL,DOVE,DOVE STRAIGHT & SILKY CONDITIONER 320ML,360,PBT,320ML,,1646380770201-unilever nepal ltd-nepal-dove.png,RECODING,5
2022-03-05 00:00:00,202203,,129024572,,1646382987052,99763268,110,HYGIENIC RESEARCH - INDIA,STREAX ,STREAX 7.3 GOLDEN BLONDE 60ML,96,CBP,60ML,,1646382987052-hygienic research - india-streax .png,RECODING,5
2022-03-05 00:00:00,202202,,128656713,,1646369779106,99763280,123,KWALITY CHEM PVT LTD-NEPAL,KWALITY BHANU,KWALITY BHANU,20,PPH,125G,,1646369779106-kwality chem pvt ltd-nepal-kwality bhanu.png,RECODING,5
2022-03-05 00:00:00,202203,,126759332,,1646387505443,99763281,123,HIMGIRI HYGIENE PVT LTD-NEPAL,FIZZ ,FIZZ LAUNDRY SOAP/150GM/PPH,30,PPH,150GM ,,1646387505443-himgiri hygiene pvt ltd-nepal-fizz .png,RECODING,5
2022-03-05 00:00:00,202203,,124902886,,1646373491778,99763282,123,GOPAL N PRODUCT-NEPAL,V SERIES,V SERIES/LAUNDRY SOAP/100GM/PPH,20,PPH,100GM ,,1646373491778-gopal n product-nepal-v series.png,RECODING,5
