itemcode,itemdesc,catcode,category,company,brand,packaging,flavor,color,qty,uomdesc,pack_size,launchdate,audittype
30119,MUNCHEE CHOC SHOCK 90 GM CDBOX CHOCOLATE CENTERED BISCUIT,6,BISCUITS,CEYLON BISCUITS LIMITED,MUNCHEE CHOC SHOCK,CDBOX,,,90.0,GM,90.00 GM,201809.0,1
30120,MUNCHEE WRAPS PREMIUM ASSORTMENT CLASSIC COOKIES 150 GM CDBOX,6,BISCUITS,CEYLON BISCUITS LIMITED,MUNCHEE WRAPS PREMIUM,CDBOX,,,150.0,GM,150.00 GM,201912.0,1
30121,MALIBAN REAL TEMPTATION CHOCOLATE FILLED BISCUITS 90 GM,6,BISCUITS,MALIBAN BISCUIT MANUFACTORIES,MALIBAN REAL TEMPTATION,CDBOX,,,90.0,GM,90.00 GM,201502.0,1
30122,MALIBAN REAL TEMPTATION COFFEE FILLED BISCUITS 90 GM,6,BISCUITS,MALIBAN BISCUIT MANUFACTORIES,MALIBAN REAL TEMPTATION,CDBOX,,,90.0,GM,90.00 GM,201803.0,1
30123,MALIBAN REAL TEMPTATION WHITE CHOCOLATE 90 GM,6,BISCUITS,MALIBAN BISCUIT MANUFACTORIES,MALIBAN REAL TEMPTATION,CDBOX,,,90.0,GM,90.00 GM,201612.0,1
30124,MUNCHEE HAWAIAN COOKIES 100 GM,6,BISCUITS,CEYLON BISCUITS LIMITED,MUNCHEE HAWAIAN COOKIES,PLPCH,,,100.0,GM,100.00 GM,200507.0,1
30125,MUNCHEE HAWAIAN COOKIES 200 GM,6,BISCUITS,CEYLON BISCUITS LIMITED,MUNCHEE HAWAIAN COOKIES,PLBAG,,,200.0,GM,200.00 GM,,1
30126,MUNCHEE T20 BISCUIT 38 GM,6,BISCUITS,CEYLON BISCUITS LIMITED,MUNCHEE T20,PLPCH,,,38.0,GM,38.00 GM,202007.0,1
30127,CROWN COCONUT CRUNCH 100 GM,6,BISCUITS,CROWN BISCUITS MANUFACTOR,CROWN COCONUT CRUNCH,PLPCH,,,100.0,GM,100.00 GM,200906.0,1
30128,CROWN COCONUT CRUNCH 200 GM,6,BISCUITS,CROWN BISCUITS MANUFACTOR,CROWN COCONUT CRUNCH,PLWRP,,,200.0,GM,200.00 GM,200702.0,1
30129,CROWN COCONUT CRUNCH PLPCH 175 GM,6,BISCUITS,CROWN BISCUITS MANUFACTOR,CROWN COCONUT CRUNCH,PLPCH,,,175.0,GM,175.00 GM,201901.0,1
30130,DIANA HAWAII COOKIES 200 GM PLPCH,6,BISCUITS,DIANA TRADING CO.(PVT) LTD,DIANA HAWAII COOKIES,PLPCH,,,200.0,GM,200.00 GM,201306.0,1
