t_row_id,t_DATE,t_PERIOD,t_AUDITYPE,t_STORECODE,t_DLRCODE,t_ITEMCODE,t_NEW_CODES,t_CATEGORY,t_MANUFACTURE,t_BRAND,t_ITEMDESC,t_MRP,t_PACKSIZE,t_PACKTYPE,t_COMMENTS,t_IMAGE,t_CODE COMMENT,t_FLAG,1,2,3,rank
21,2023-04-12,202304,2,112116438,21102020060,1681200072931,99764966,118,BOTTLERS NEPAL - NEPAL,SPRITE,SPRITE-LEMON-PET 2250 ML/FREE 80 GM 2PM AKABARE CHICKEN NOODLES,260.0,PBT,2250ML,,1681200072931-bottlers nepal - nepal-sprite#3.png,RECODING,5,99764966,20150012,99765140,1
23,2023-04-17,202304,2,124650089,31101020099,1681632301424,99764967,134,DABUR NEPAL LTD.-NEPAL,REAL FRUIT POWER,REAL FRUIT POWER-MASALA COLA PBT 150ML,30.0,150ML,PBT,,1681632301424-dabur nepal ltd--nepal-real fruit power#3.png,RECODING,5,99764967,None,None,1
24,2023-04-17,202304,2,128702441,12201020028,1680674399122,51766,134,DABUR NEPAL LTD.-NEPAL,REAL FRUIT POWER,REAL/FRUIT POWER/MIXED FRUIT/RICH IN VITAMIN C,280.0,TPK,1LTR,,1680674399122-dabur nepal ltd--nepal-real fruit power#3.png,CROSS CODING,2,99763989,51766,99765363,1
28,2023-04-17,202304,2,134462915,12202020033,1681375880871,99764966,118,BOTTLERS NEPAL - NEPAL,SPRITE ,SPRITE-LEMON-PET 2250 ML FREE2PM NOODLES AKABARE CHICKEN 80GM,260.0,PET,2250 ML,,1681375880871-bottlers nepal - nepal-sprite #3.png,RECODING,5,99764966,20150012,99765140,1
25,2023-04-17,202304,2,122331327,31101020086,1681627867368,99764980,134,DABUR NEPAL LTD.-NEPAL,REAL FRUIT POWER,REAL FRUIT POWER NIMBU FIZZIN MINI\150ML\PET\RS:30\DABUR NEPAL PVT.LTD NEPAL,30.0,PET,150ML,New SKU,1681627867368-dabur nepal ltd--nepal-real fruit power#3.png,RECODING,5,99764980,99764967,99764981,1
26,2023-04-17,202304,2,130302224,31101020064,1681618125858,99764984,134,AAKAR FOOD& BEVRAGE P.LTD NEPAL,POKHRELI,POKHRELI\1000ML\PBT\RS:25\AAKAR FOOD&BEVRAGE P.LTD NEPAL,25.0,PBT,1000ML,New SKU,1681618125858-aakar food- bevrage p-ltd nepal-pokhreli#3.png,RECODING,5,99764984,99765246,99765051,1
27,2023-04-17,202304,2,115065195,21101020193,1680765933048,99764985,134,MOON LIGHT SPRING MNRL WTR-NPL,AQUA MILD,AQUA MILD/1000/ML/PBT/WATER,20.0,PBT,1000ML,New SKU,1680765933048-moon light spring mnrl wtr-npl-aqua mild#3.png,RECODING,5,99764985,45550,45553,1
30,2023-04-17,202304,2,113111235,21102020029,1681624689482,99764967,118,DABUR NEPAL LTD.-NEPAL,REAL FRUIT POWER,REAL FRUIT POWER/MASALA COLA FIZZIN/CARBONATE/PBT/150ML/RS30,30.0,PBT,150ML,,1681624689482-dabur nepal ltd--nepal-real fruit power#3.png,RECODING,5,99764967,52828,53072,1
29,2023-04-17,202304,2,132818056,12202020031,1681375880871,99764966,118,BOTTLERS NEPAL - NEPAL,SPRITE ,SPRITE-LEMON-PET 2250 ML FREE2PM NOODLES AKABARE CHICKEN 80GM,260.0,PET,2250 ML,,1681375880871-bottlers nepal - nepal-sprite #3.png,RECODING,5,99764966,20150012,99765140,1
31,2023-04-17,202304,2,113111235,21102020029,1681624289028,99764982,118,DABUR NEPAL LTD.-NEPAL,REAL FRUIT POWER,REAL FRUIT POWER/CARBONATE/APPLE FIZZIN/PBT/250ML/RS50,50.0,PBT,250ML,,1681624289028-dabur nepal ltd--nepal-real fruit power#3.png,RECODING,5,99764982,99764983,99764981,1
32,2023-04-17,202304,2,113111235,21102020029,1681624480068,99764983,118,DABUR NEPAL LTD.-NEPAL,REAL FRUIT POWER,REAL FRUIT POWER/CARBONATE/APPLE FIZZIN/PBT/500ML/RS80,80.0,PBT,500ML,,1681624480068-dabur nepal ltd--nepal-real fruit power#3.png,RECODING,5,99764983,99764982,99764981,1
48,2023-04-19,202304,2,124774822,21209020036,1681809687289,99764967,118,DABUR NEPAL,REAL FRUIT POWER MASALA FIZZIN,REAL FRUIT POWER/MASALACOLA FIZZIN/MINI/150ML/PBT/CARBONATED MASALA COLA/,30.0,PBT,150ML,,1681809687289-dabur nepal-real fruit power masala fizzin#3.png,RECODING,5,99764967,99764980,52828,1
33,2023-04-17,202304,2,112331058,21102020041,1681365377076,99764966,118,BOTTLERS NEPAL - NEPAL,SPRITE,SPRITE/2250/ML/PBT/FREE 2PM AKBARE CHICKEN,260.0,PBT,2250 ML,,1681365377076-bottlers nepal - nepal-sprite#3.png,RECODING,5,99764966,99765140,99765367,1
34,2023-04-17,202304,2,111651929,21102020038,1681200072931,99764966,118,BOTTLERS NEPAL - NEPAL,SPRITE,SPRITE-LEMON-PET 2250 ML/FREE 80 GM 2PM AKABARE CHICKEN NOODLES,260.0,PBT,2250ML,Any other reason,1681200072931-bottlers nepal - nepal-sprite#3.png,RECODING,5,99764966,20150012,99765140,1
35,2023-04-17,202304,2,130483049,52303020004,1681379447753,99764986,134,LIFE FOOD & BEVERAGE-NEPAL,KI BU GOLD,KI BU GOLD/180ML/CAN/ENERGY DRINK ,80.0,CAN,180ML ,,1681379447753-life food - beverage-nepal-ki bu gold#3.png,RECODING,5,99764986,99764679,99765230,1
36,2023-04-17,202304,2,113383396,21102020059,1681365377076,99764966,118,BOTTLERS NEPAL - NEPAL,SPRITE,SPRITE/2250/ML/PBT/FREE 2PM AKBARE CHICKEN,260.0,PBT,2250 ML,,1681365377076-bottlers nepal - nepal-sprite#3.png,RECODING,5,99764966,99765140,99765367,1
37,2023-04-17,202304,2,122007734,12303020017,1681280478016,99764966,118,BOTTLERS NEPAL - NEPAL,SPRITE,SPRITE-LEMON-PET 2250 ML FREE2PM NOODLES AKABARE CHICKEN 80GM,260.0,PEN,2250ML,,1681280478016-bottlers nepal - nepal-sprite#3.png,RECODING,5,99764966,20150012,99765140,1
38,2023-04-17,202304,2,122002412,12303020025,1681209985165,99764987,134,SINGAPORE BEVERAGE-NEPAL,NATURALS,NATURALS-LYCHEE DRINK CAN 250ML,90.0,CAN,250ML,,1681209985165-singapore beverage-nepal-naturals#3.png,RECODING,5,99764987,99765467,99764277,1
39,2023-04-17,202304,3,1210102756,12101030208,1681273421259,99764988,124,SHREE RAM TOBACCO UDHYOG,CURRENT GUTKHA,CURRENT GUTKHA PSC- 3.5 GM,15.0,PSC,3.5 GM.,,1681273421259-shree ram tobacco udhyog-current gutkha#3.png,RECODING,5,99764988,99762225,99764040,1
40,2023-04-18,202304,2,124092181,31101020045,1681712979974,99764990,134,ANNAPURNA FOOD & BEVERAGE-NEPL,SOLTINI,SOLTINI PBT 1000ML,25.0,PBT,100ML,,1681712979974-annapurna food - beverage-nepl-soltini#3.png,RECODING,5,99764990,40121220,48598,1
41,2023-04-18,202304,2,130217025,52303020002,1680853322789,99764966,118,BOTTLERS NEPAL - NEPAL,SPRITE ,SPRITE/2.25L/ML/PET/LEMON/80GM 2PM NOODLES FREE,260.0,PET,2.25L,,1680853322789-bottlers nepal - nepal-sprite #3.png,RECODING,5,99764966,20150012,99765140,1
42,2023-04-18,202304,2,130220490,52303020013,1681700204185,nan,134,AGRO THAI FOODS PVT LTD-NEPAL,ICEEY ORS ,ICEEY ORS/250ML/PBT/ORANGE ,50.0,PBT,250ML ,,1681700204185-agro thai foods pvt ltd-nepal-iceey ors #3.png,DELETE THE ITEM,1,99762493,99762464,99764200,1
