t_row_id,t_DATE,t_PERIOD,t_AUDITYPE,t_STORECODE,t_DLRCODE,t_ITEMCODE,t_NEW_CODES,t_CATEGORY,t_MANUFACTURE,t_BRAND,t_ITEMDESC,t_MRP,t_PACKSIZE,t_PACKTYPE,t_COMMENTS,t_IMAGE,t_CODE COMMENT,t_FLAG,1,2,3,rank
47,2023-05-23,202305,2,122331327,31101020086,1684666813092,99765027,134.0,DABUR NEPAL LTD.-NEPAL,REAL FRUIT POWER,REAL FRUIT POWER LITCHI\200ML\PET\RS:40\DABUR NEPAL PVT.LTD,40.0,200ML,PET,,1684666813092-dabur nepal ltd--nepal-real fruit power#3.png,RECODING,5,99765027,99763667,99763514,1
49,2023-05-23,202305,2,122331327,31101020086,1684666567304,99765017,134.0,DABUR NEPAL LTD.-NEPAL,REAL FRUIT POWER,REAL FRUIT POWER GUAVA\1000ML\PET\RS:170\DABUR NEPAL PVT.LTD,170.0,1000ML,PET,,1684666567304-dabur nepal ltd--nepal-real fruit power#3.png,RECODING,5,99765017,51620,52889,1
48,2023-05-23,202305,2,122331327,31101020086,1684666723627,99765026,134.0,DABUR NEPAL LTD.-NEPAL,REAL FRUIT POWER,REAL FRUIT POWER GUAVA\200ML\PET\RS:40\DABUR NEPAL PVT.LTD,40.0,200ML,PET,,1684666723627-dabur nepal ltd--nepal-real fruit power#3.png,RECODING,5,99765026,99763667,99763514,1
62,2023-05-23,202305,2,131403410342,13140020001,1684483077093,99765030,134.0,KALYAN JAL UDHYOG NEPAL ,KALYAN JAL,KALYAN JAL\1000ML\PBT\MINERAL WATER ,25.0,1000ML,PBT,Sales Deviation is OK,1684483077093-kalyan jal udhyog nepal -kalyan jal#3.png,RECODING,5,99765030,40110359,99765040,1
61,2023-05-23,202305,2,128743229,31101020080,1684485698946,99765006,134.0,SOUTH ASIAN BEVERAGES P. LTD-NEPAL,FROORI,FROOTI\150ML\PET\RS:30\SOUTH ASIAN BEVRAGES PVT.LTD NEPAL,30.0,150ML,PET,New SKU,1684485698946-south asian beverages p- ltd-nepal-froori#3.png,RECODING,5,99765006,None,None,1
50,2023-05-23,202305,2,126709011,31101020072,1684646741564,99765033,134.0,SINGAPORE BEVERAGE-NEPAL,FRUIT GEMS,FRUIT GEMS PINK GUAVA\320ML\PET\RS:140\SINGAPORE BEVRAGES NEPAL PVT.LTD NEPAL,140.0,320ML,PBT,,1684646741564-singapore beverage-nepal-fruit gems#3.png,RECODING,5,99765033,99765205,99764948,1
51,2023-05-23,202305,2,126709011,31101020072,1684645142733,99765012,134.0,MARUTI DAIRY PRODUCT-NEPAL,MILK-O,MILK-O BADAMS COOL DRINK\180ML\CAN\RS:90\MARUTI DAIRY PRODUCTS PVT.LTD NEPAL,90.0,180ML,CAN,New SKU,1684645142733-maruti dairy product-nepal-milk-o#3.png,RECODING,5,99765012,99765004,99763477,1
55,2023-05-23,202305,3,2110115927,21101031824,1684651083299,90118229,105.0,GORKHA LAHARI PVT.LTD.- NEPAL,MAJOR,MAJOR/ 20/ HL/GORKHA LAHARI PVT LTD/ NEPAL/ ,84.5,20,HL,Sales Deviation is OK,1684651083299-gorkha lahari pvt-ltd-- nepal-major#3.png,CROSS CODING,2,90118229,90110228,99762386,1
54,2023-05-23,202305,2,111206306,21101020258,1684652665412,99765032,134.0,MB.MANANAKAMNA TRADES,BLUES SORING,BLUES SPRING\1000\ML,20.0,1000ML,PET,New SKU,1684652665412-mb-mananakamna trades-blues soring#3.png,RECODING,5,40120766,99765032,40121801,1
58,2023-05-23,202305,2,125797790,31101020098,1684574139114,99765034,134.0,DUWAL BROTHERS-NEPAL,DUWAL ,DUWAL LITCHI\150ML\PET\RS:20\DUWAL BROTHERS PVT.LTD NEPAL,20.0,150ML,PET,Sales Deviation is OK,1684574139114-duwal brothers-nepal-duwal #3.png,RECODING,5,99765034,None,None,1
57,2023-05-23,202305,2,127523941,22202020034,1684547505417,99765029,134.0,SMART PRASODHIT PANI UDHYOG-NP,HIMALIYA,HIMALIYA\1000ML\PBT\MINERAL WATER ,25.0,1000ML,PBT,Sales Deviation is OK,1684547505417-smart prasodhit pani udhyog-np-himaliya#3.png,RECODING,5,99765029,52795,99765435,1
63,2023-05-23,202305,2,425393010107,42539020003,1684417103558,99765031,134.0,AAYUSHMA DRINKING WATER UDHYOG,AAYUSHMA,AAYUSHMA/1000ML/PBT/RS 25,25.0,1000ML,PBT,Sales Deviation is OK,1684417103558-aayushma drinking water udhyog-aayushma#3.png,RECODING,5,99765031,99762351,99765435,1
60,2023-05-23,202305,2,128743229,31101020080,1684485865605,99764921,134.0,SOUTH ASIAN BEVERAGES P. LTD-NEPAL,APPY FIZZ,APPY FIZZ\160ML\PET\RS:30\SOUTH ASIAN BEVRAGES PVT.LTD NEPAL,30.0,160ML,PET,New SKU,1684485865605-south asian beverages p- ltd-nepal-appy fizz#3.png,CROSS CODING,2,99765076,99764921,99763443,1
